uni,uni_stock,fba,fba_stock,fbf,fbf_stock,sjit,sjit_stock
JOPLJPR150B-XL,24,JOPLVL310-3XL,10,JOPLVSRW5213-XL,1,JOPLJPR750-XXL,10
JOPLJPR150B-XXL,18,JOPLJPR728-S,1,JOPLDI1052,6,JOPLJPR713-M,10
JOPLJPR150C-L,40,JOPLST201-XL,16,JOPLJPR801X-3XL,1,JOPLVSRW4286-L,3
JOPLJPR150C-M,32,JOPLVSMRW5149-L,1,JOPLVSM4250,1,JOPLPDPRW1058-8XL,1
JOPLJPR150C-S,36,JOPLVSMRW5156-XL,6,JOPLVSM4079,1,JOPLJPR347-XXL,2
JOPLJPR150C-XL,28,JOPLVSMRW5160-S,5,JOPLVL218-S,6,JOPLLTRW2007-10XL,1
JOPLJPR150C-XXL,8,JOPLST201-S,4,JOPLVSMRW4250-XL,1,JOPLVSRW4005-4XL,14
JOPLJPR151-L,43,JOPLST201-XXL,20,JOPLVSRW5207-5XL,0,JOPLJPR302-M,1
JOPLJPR151-M,26,JOPLST201-L,2,JOPLVSRW5207-7XL,1,JOPLJPR747-XXL,1
JOPLJPR151-S,27,JOPLVSMRW5156-XXL,2,JOPLJPR68D-3XL,2,JOPLJPR201-L,1
JOPLJPR151-XL,35,JOPLVSMRW5156-L,1,JOPLVSRW5216-S,0,JOPLVSRW4114-4XL,1
JOPLJPR151-XXL,41,JOPLST201-M,5,JOPLLTRW2017-7XL,9,JOPLVSRW4082-6XL,2
JOPLJPR152A-XL,7,JOPLVSMRW5156-6XL,10,JOPLLTRW2016-XL,1,JOPLVSMRW3988-L,4
JOPLJPR152B-L,45,JOPLVSMRW5149-4XL,3,JOPLJPR10-4XL,3,JOPLJPR43-S,3
JOPLJPR152B-M,21,JOPLVSMRW5149-S,1,JOPLVSRW4292-6XL,3,JOPLJPR745-L,1
JOPLJPR152B-S,20,JOPLPDPRW1006-M,6,JOPLVSRW5172-5XL,0,JOPLVSMRW5156-6XL,2
JOPLJPR152B-XL,48,JOPLPDPRW1006-S,2,JOPLST201-XXL,0,JOPLVSRW5205-3XL,3
JOPLJPR152B-XXL,35,JOPLJPR508-S,2,JOPLVL288-6XL,0,JOPLVSRW4031-L,1
JOPLJPR152C-S,18,JOPLJPR10-XL,2,JOPLVSRW4093-M,2,JOPLVSMRW3988-M,6
JOPLJPR153B-S,1,JOPLJPR10-L,1,JOPLVSRW5220-XXL,1,JOPLJPR751-S,2
JOPLJPR154A-S,1,JOPLJPR10-M,16,JOPLJPR755-S,1,JOPLST240-L,1
JOPLJPR155A-L,18,JOPLVSRW4005-M,27,JOPLJPR714-XS,0,JOPLLTRW2016-3XL,2
JOPLJPR155A-M,7,JOPLVSRW1164-L,3,JOPLVSMRW4250-L,1,JOPLLTRW2018-S,1
JOPLJPR155A-S,25,JOPLVSRW4288-M,9,JOPLPDPRW1006-5XL,0,JOPLJPR742-XL,32
JOPLJPR155A-XL,4,JOPLVSRW4031-XXL,13,JOPLVSRW5203-4XL,0,JOPLLTRW2018-M,1
JOPLJPR155B-L,44,JOPLVSRW4097-XL,6,JOPLVSRW4114-7XL,1,JOPLJPR841-XXL,1
JOPLJPR155B-M,26,JOPLVSRW4286-6XL,2,JOPLRP710,2,JOPLVSRW4292-8XL,1
JOPLJPR155B-S,34,JOPLVSRW4147-L,9,JOPLVSRW4292-3XL,4,JOPLJPR10-S,3
JOPLJPR155B-XL,41,JOPLVSRW4082-6XL,7,JOPLVSMRW4250-5XL,1,JOPLST242-S,1
JOPLJPR156A-L,2,JOPLVSRW4031-L,7,JOPLLTRW2007-XXL,18,JOPLST11-XL,2
JOPLJPR156A-M,3,JOPLVSRW4093-4XL,3,JOPLVSMRW4250-7XL,2,JOPLST268-L,1
JOPLJPR156A-S,12,JOPLVSRW4097-5XL,6,JOPLJPR325-S,1,JOPLJPR513-XXL,1
JOPLJPR156A-XXL,1,JOPLVSRW4097-S,2,JOPLST276-L,19,JOPLPDPRW1058-5XL,8
JOPLJPR156B-L,42,JOPLVSRW4082-S,6,JOPLVSRW4082-3XL,0,JOPLST240-S,2
JOPLJPR156B-M,28,JOPLVSRW4147-6XL,1,JOPLVSRW5202-3XL,2,JOPLJPR753-XL,1
JOPLJPR156B-S,36,JOPLVSRW4288-S,10,JOPLST268-XXL,1,JOPLVSMRW4276-L,1
JOPLJPR156B-XL,37,JOPLVSRW4005-XL,33,JOPLST270-S,12,JOPLJPR5004-XS,1
JOPLJPR156B-XXL,37,JOPLVSRW4096-L,9,JOPLST276-S,6,JOPLVSMRW5156-9XL,1
JOPLJPR157A-L,47,JOPLVSRW4114-S,8,JOPLVSRW4286-XL,0,JOPLJPR708-XS,1
JOPLJPR157A-M,32,JOPLVSRW4290-5XL,3,JOPLPDP1006-VSM4091,3,JOPLJPR89-M,3
JOPLJPR157A-S,32,JOPLVSRW4290-XL,1,JOPLJPR68D-L,0,JOPLST201-M,1
JOPLJPR157A-XL,44,JOPLVSRW4147-M,17,JOPLVSRW4082-XL,0,JOPLRJN17-XL,1
JOPLJPR157A-XXL,43,JOPLVSRW4290-M,8,JOPLVSM4096,4,JOPLPDPRW1058-6XL,1
JOPLJPR157B-M,35,JOPLVSRW4097-3XL,15,JOPLJPR10-M,1,JOPLLTRW2018-XL,1
JOPLJPR157B-S,34,JOPLVSRW4079-L,8,JOPLVL288-S,6,JOPLLTRW2007-S,2
JOPLJPR157B-XL,43,JOPLVSRW1164-5XL,2,JOPLVSRW4005-L,1,JOPLVSRW5205-S,1
JOPLJPR157B-XXL,38,JOPLVSRW4114-M,12,JOPLVSMRW5160-4XL,0,JOPLVL245-L,1
JOPLJPR158A-L,57,JOPLVSRW4093-M,5,JOPLLTRW2018-S,1,JOPLVSRW5193-9XL,1
JOPLJPR158A-M,1,JOPLVSRW4031-5XL,2,JOPLJPR740-L,0,JOPLJPR786-XS,1
JOPLJPR158A-S,35,JOPLVSRW4082-5XL,6,JOPLPDPRW1006-6XL,2,JOPLST232-S,1
JOPLJPR158A-XL,45,JOPLVSRW4288-XL,1,JOPLJPR69C-L,4,JOPLVSRW5205-XL,2
JOPLJPR158A-XXL,36,JOPLVSRW4079-XL,2,JOPLVSRW5218-M,1,JOPLJPR5004-L,1
JOPLJPR158B-S,9,JOPLVSRW4005-5XL,2,JOPLVSRW4031-5XL,2,JOPLJPR742-S,4
JOPLJPR158B-XL,5,JOPLVSRW4031-XL,1,JOPLVSRW4114-XL,2,JOPLST270-M,4
JOPLJPR158B-XXL,9,JOPLVSRW4097-6XL,3,JOPLVSRW4002-XL,2,JOPLVSMRW4267-L,1
JOPLJPR158C-L,61,JOPLVSRW4288-6XL,2,JOPLVSRW5202-M,0,JOPLJPR783-XXL,1
JOPLJPR158C-M,58,JOPLVSRW4147-4XL,28,JOPLVSRW4292-4XL,10,JOPLST271-M,6
JOPLJPR158C-S,45,JOPLVSRW1167-6XL,4,JOPLVSRW5212-XXL,7,JOPLJPR730-XXL,1
JOPLJPR158C-XL,67,JOPLVSRW1164-S,1,JOPLVSRW4031-L,0,JOPLJPR350-M,1
JOPLJPR158C-XXL,71,JOPLVSRW4093-5XL,2,JOPLVSRW4093-7XL,6,JOPLVL241-M,1
JOPLJPR159C-M,11,JOPLVSRW4031-M,12,JOPLAI1001D,5,JOPLVSMRW3988-3XL,3
JOPLJPR159C-S,13,JOPLVSRW4088-6XL,3,JOPLJPR794-XL,6,JOPLVSMRW5156-10XL,1
JOPLJPR159D-S,10,JOPLVSRW4079-5XL,3,JOPLVSRW5220-M,1,JOPLRJN16-XL,1
JOPLJPR159E-S,4,JOPLVSRW4290-XXL,1,JOPLVSRW5215-L,0,JOPLVL310-S,1
JOPLJPR159H-S,5,JOPLVSRW4286-S,5,JOPLJPR707-XS,2,JOPLJPR750-S,6
JOPLJPR159H-XL,2,JOPLVSRW4093-6XL,2,JOPLJPR742-M,5,JOPLJPR4034-S,1
JOPLJPR163-L,43,JOPLVSRW4147-XL,20,JOPLLTRW2015-5XL,2,JOPLJPR706-XL,4
JOPLJPR163-M,17,JOPLVSRW4005-L,14,JOPLJPR745-S,2,JOPLVL214-L,2
JOPLJPR163-S,25,JOPLVSRW5171-S,5,JOPLVSRW4114-XXL,6,JOPLVSRW5171-7XL,1
JOPLJPR163-XL,36,JOPLVSRW4093-L,3,JOPLVSRW5204-5XL,1,JOPLJPR301-S,1
JOPLJPR163-XXL,36,JOPLVSRW4082-XXL,13,JOPLVSRW5213-XXL,1,JOPLJPR69B-S,2
JOPLJPR17-XL,2,JOPLVSRW4093-XXL,19,JOPLLTRW2015-7XL,6,JOPLST14-L,1
JOPLJPR2002-XS,2,JOPLVSRW4292-6XL,1,JOPLST270-M,0,JOPLVSMRW4276-XL,1
JOPLJPR2003-S,2,JOPLVSRW4292-L,1,JOPLVSRW4093-6XL,1,JOPLJPR301-XXL,1
JOPLJPR2003-XS,2,JOPLVSRW4290-L,10,JOPLPDPRW1006-M,2,JOPLPDPRW1006-8XL,5
JOPLJPR2004-M,1,JOPLVSRW4082-4XL,5,JOPLVSMRW5149-3XL,5,JOPLJPR762-L,1
JOPLJPR2004-S,15,JOPLVSRW4097-L,1,JOPLVSMRW5156-XL,0,JOPLVSRW4005-9XL,1
JOPLJPR2004-XL,3,JOPLVSRW4082-L,5,JOPLJPR794-M,0,JOPLJPR783-S,1
JOPLJPR2004-XS,14,JOPLVSRW4288-4XL,7,JOPLVSRW5203-5XL,1,JOPLLTRW2015-XXL,1
JOPLJPR2004-XXL,6,JOPLVSRW4286-L,4,JOPLVSRW4147-6XL,3,JOPLVSRW4292-7XL,1
JOPLJPR2005-M,3,JOPLVSRW4005-S,3,JOPLJPR751-XS,0,JOPLJPR786-S,2
JOPLJPR2005-S,12,JOPLJPR730-S,3,JOPLJPR757-XL,0,JOPLLTRW2016-5XL,3
JOPLJPR2005-XS,18,JOPLJPR738-XS,5,JOPLST268-L,0,JOPLJPR4023-XL,2
JOPLJPR2006-L,33,JOPLJPR739-XL,22,JOPLVSMRW5149-M,2,JOPLJPR763-XS,1
JOPLJPR2006-M,25,JOPLJPR739-XXL,12,JOPLVSRW5214-S,1,JOPLLTRW2016-XL,1
JOPLJPR2006-S,41,JOPLJPR741-XS,7,JOPLVSRW4093-5XL,1,JOPLJPR345-L,1
JOPLJPR2006-XL,35,JOPLJPR741-S,4,JOPLJPR83-S,1,JOPLVSRW5193-10XL,1
JOPLJPR2006-XS,51,JOPLJPR739-XS,25,JOPLVSRW5211-7XL,2,JOPLST703-M,2
JOPLJPR2006-XXL,21,JOPLJPR741-L,12,JOPLVSRW4079-M,0,JOPLST271-XL,2
JOPLJPR2007-L,3,JOPLJPR739-L,28,JOPLVSM3988,4,JOPLJPR138-M,1
JOPLJPR2007-M,27,JOPLJPR739-S,28,JOPLJPR794-XS,0,JOPLVSRW4147-M,3
JOPLJPR2007-S,26,JOPLJPR741-M,31,JOPLST218-5XL,3,JOPLVSRW4286-M,2
JOPLJPR2007-XL,8,JOPLJPR741-XXL,1,JOPLDI1028,1,JOPLJPR752-XS,1
JOPLJPR2007-XS,36,JOPLJPR740-S,7,JOPLJPR763-L,1,JOPLVSMRW4276-6XL,2
JOPLJPR2007-XXL,4,JOPLJPR740-M,8,JOPLVSRW4082-4XL,3,JOPLJPR706-4XL,1
JOPLJPR2008-L,31,JOPLJPR742-XXL,8,JOPLPDPRW1006-S,1,JOPLVSRW4292-M,1
JOPLJPR2008-M,21,JOPLJPR742-L,23,JOPLJPR801-M,0,JOPLJPR216-XXL,1
JOPLJPR2008-S,13,JOPLJPR742-XS,31,JOPLJPR801-XL,0,JOPLLTRW2018-5XL,2
JOPLJPR2008-XL,35,JOPLJPR742-XL,6,JOPLVL212-XL,0,JOPLJPR753-S,2
JOPLJPR2008-XS,43,JOPLJPR742-S,12,JOPLVSM4031,0,JOPLVSRW5206-4XL,1
JOPLJPR2008-XXL,31,JOPLJPR742-M,1,JOPLDI1063,0,JOPLJPR867-S,2
JOPLJPR2009-M,1,JOPLPDPRW1058-8XL,16,JOPLJPR515-XL,0,JOPLST11-XXL,1
JOPLJPR2009-S,22,JOPLVL270-XXL,1,JOPLJPR515-S,0,JOPLCS104-L,1
JOPLJPR2009-XL,1,JOPLVSM3851,1,JOPLVL212-5XL,0,JOPLVSMRW3988-XL,5
JOPLJPR2009-XS,42,JOPLVSM3988,10,JOPLVL218-5XL,0,JOPLVSMRW4276-S,1
JOPLJPR2010-XS,9,JOPLVSM4002J,11,JOPLJPR513-XL,0,JOPLVSRW5193-8XL,4
JOPLJPR2011-3XL,3,JOPLVSM4005J,8,JOPLJPR89-XXL,0,JOPLST11-M,1
JOPLJPR2011-L,6,JOPLVSM4031,1,JOPLJPR68B-XL,1,JOPLVSMRW4281-M,1
JOPLJPR2011-M,16,JOPLVSM4028,1,JOPLJPR68C-XL,0,JOPLRJN17-M,1
JOPLJPR2011-S,9,JOPLAI1001D,1,JOPLJPR44-XL,0,JOPLST14-XL,5
JOPLJPR2011-XXL,20,JOPLVSM4071,8,JOPLJPR68D-XL,0,JOPLST14-S,2
JOPLJPR2012-3XL,30,JOPLVSM4078,32,JOPLJPR69A-L,0,JOPLJPR703-XXL,1
JOPLJPR2012-L,34,JOPLPDPRW1058-XL,45,JOPLJPR89-3XL,0,JOPLVL241-XL,1
JOPLJPR2012-M,30,JOPLVSM4079,30,JOPLJPR85-L,0,JOPLJPR713-XS,2
JOPLJPR2012-S,33,JOPLVSM4096,2,JOPLJPR89-M,0,JOPLJPR69B-L,2
JOPLJPR2012-XL,36,JOPLVSM4093,1,JOPLVSRW4288-3XL,0,JOPLJPR779-XXL,1
JOPLJPR2012-XXL,23,JOPLVSM4091,1,JOPLVSRW5171-6XL,0,Not Found,0
JOPLJPR2013-3XL,33,JOPLVSM4088,6,JOPLJPR68B-L,0,,0
JOPLJPR2013-L,40,JOPLVSM4125,61,JOPLJPR44-4XL,0,,0
JOPLJPR2013-M,26,JOPLVSM4119,13,JOPLVSRW5203-XXL,0,,0
JOPLJPR2013-S,39,JOPLVSM4114,13,JOPLVSRW4292-5XL,0,,0
JOPLJPR2013-XL,35,JOPLVSM4132,33,JOPLVSMRW5160-XL,0,,0
JOPLJPR201-3XL,4,JOPLJPR43-XL,19,JOPLVSRW4290-3XL,0,,0
JOPLJPR2013-XXL,25,JOPLJPR43-S,2,JOPLJPR69D-XL,0,,0
JOPLJPR2014-3XL,32,JOPLJPR44-XXL,56,JOPLST271-XL,0,,0
JOPLJPR2014-L,20,JOPLVL205-XL,1,JOPLVSRW5204-3XL,0,,0
JOPLJPR2014-M,22,JOPLJPR68C-S,1,JOPLJPR68A-M,0,,0
JOPLJPR2014-S,55,JOPLJPR68D-XXL,1,JOPLJPR747-XS,0,,0
JOPLJPR2014-XL,19,JOPLJPR68C-M,16,JOPLJPR779-S,0,,0
JOPLJPR2014-XXL,18,JOPLJPR68A-S,3,JOPLVL213-XL,0,,0
JOPLJPR2015-3XL,32,JOPLJPR68D-XL,2,JOPLVSRW5211-L,0,,0
JOPLJPR2015-L,15,JOPLJPR68D-L,5,JOPLVSMRW4281-XXL,1,,0
JOPLJPR2015-M,23,JOPLJPR68C-XL,5,JOPLVSRW4093-3XL,7,,0
JOPLJPR2015-S,46,JOPLJPR68C-XXL,6,JOPLVSM4082,0,,0
JOPLJPR2015-XL,114,JOPLJPR43-M,1,JOPLVSRW5204-XL,0,,0
JOPLJPR2015-XXL,67,JOPLJPR69C-L,2,JOPLVSMRW4250-8XL,0,,0
JOPLJPR2016-S,9,JOPLJPR69B-S,2,JOPLJPR69D-M,0,,0
JOPLJPR2016-XXL,1,JOPLJPR69D-S,1,JOPLJPR83-XXL,0,,0
JOPLJPR2019-L,38,JOPLJPR69A-M,3,JOPLJPR69B-L,0,,0
JOPLJPR2019-M,43,JOPLJPR68B-XL,1,JOPLVSRW4031-S,0,,0
JOPLJPR2019-S,41,JOPLJPR68B-M,4,JOPLJPR89-4XL,0,,0
JOPLJPR2019-XL,38,JOPLVL214-XL,2,JOPLVSRW5214-5XL,0,,0
JOPLJPR2019-XS,47,JOPLVL214-S,2,JOPLJPR513-XXL,1,,0
JOPLJPR2019-XXL,29,JOPLVL213-M,9,JOPLJPR742-L,0,,0
JOPLJPR201-L,13,JOPLVL213-L,2,JOPLLTRW2016-XXL,0,,0
JOPLJPR201-M,8,JOPLVL213-XL,3,JOPLJPR747-M,0,,0
JOPLJPR201-XL,13,JOPLVSMRW3988-M,2,JOPLVSRW5193-7XL,0,,0
JOPLJPR201-XXL,16,JOPLVSMRW3988-L,1,JOPLVSRW5172-S,0,,0
JOPLJPR204-3XL,19,JOPLJPR89-S,8,JOPLVSRW5202-XL,0,,0
JOPLJPR204-L,7,JOPLJPR85-M,5,JOPLVSRW5211-3XL,0,,0
JOPLJPR204-M,9,JOPLJPR89-M,3,JOPLVSRW5193-3XL,3,,0
JOPLJPR204-XL,4,JOPLJPR89-L,8,JOPLVSRW5203-XL,0,,0
JOPLJPR204-XXL,18,JOPLVL213-XXL,1,JOPLVSRW5217-7XL,0,,0
JOPLJPR206-3XL,31,JOPLVL214-XXL,2,JOPLVSRW5217-6XL,0,,0
JOPLJPR206-L,30,JOPLJPR89-XL,1,JOPLVSRW5220-4XL,0,,0
JOPLJPR206-M,22,JOPLJPR83-S,1,JOPLVSRW4079-5XL,0,,0
JOPLJPR206-XL,19,JOPLJPR801-XXL,2,JOPLVSMRW5156-5XL,0,,0
JOPLJPR206-XXL,16,JOPLJPR44-3XL,5,JOPLVSRW5212-4XL,0,,0
JOPLJPR209-L,1,JOPLJPR44-4XL,21,JOPLJPR779-XS,0,,0
JOPLJPR209-M,1,JOPLJPR10-4XL,1,JOPLVSRW4031-4XL,1,,0
JOPLJPR211-3XL,20,JOPLJPR801-S,2,JOPLVSRW5220-3XL,0,,0
JOPLJPR211-L,11,JOPLJPR10-3XL,2,JOPLJPR85-3XL,0,,0
JOPLJPR211-M,19,ROLY01B-XXL,1,JOPLVSRW5218-3XL,0,,0
JOPLJPR211-XL,2,JOPLJPR747-XXL,1,JOPLVSRW5214-XXL,0,,0
JOPLJPR211-XXL,33,JOPLVSRW4002-M,18,JOPLVSRW5218-4XL,0,,0
JOPLJPR212-3XL,28,JOPLVSRW4002-S,12,JOPLVSRW5219-L,0,,0
JOPLJPR212-L,19,JOPLST703-M,6,JOPLVSRW4079-L,0,,0
JOPLJPR212-M,25,JOPLST703-L,2,JOPLVSRW5212-5XL,0,,0
JOPLJPR212-XL,28,JOPLJPR767-S,1,JOPLVSRW4088-5XL,0,,0
JOPLJPR212-XXL,22,JOPLJPR763-S,1,JOPLVSRW5203-L,0,,0
JOPLJPR213-3XL,32,JOPLPDPRW1058-M,4,JOPLVSRW5205-L,0,,0
JOPLJPR213-L,28,JOPLVSMRW3988-8XL,1,JOPLVSRW4286-L,0,,0
JOPLJPR213-M,32,JOPLPDPRW1058-5XL,2,JOPLVSMRW5160-3XL,0,,0
JOPLJPR213-XL,23,JOPLJPR757-XXL,1,JOPLVSRW5219-4XL,0,,0
JOPLJPR213-XXL,31,JOPLST242-M,8,JOPLVSRW5214-M,2,,0
JOPLJPR214-3XL,15,JOPLST242-S,11,JOPLVSRW5202-5XL,0,,0
JOPLJPR214-M,12,JOPLST242-L,1,JOPLVSMRW4250-S,1,,0
JOPLJPR214-XL,34,JOPLST242-XL,43,JOPLVSMRW4284-XXL,0,,0
JOPLJPR214-XXL,11,JOPLST242-XXL,6,JOPLVSRW4292-S,2,,0
JOPLJPR215-3XL,11,JOPLPDPRW1006-7XL,2,JOPLLTRW2018-XL,1,,0
JOPLJPR215-L,7,JOPLPDPRW1006-8XL,3,JOPLVSRW4290-XXL,0,,0
JOPLJPR215-M,17,JOPLST243-L,1,JOPLVSRW5193-5XL,0,,0
JOPLJPR215-XL,6,JOPLST243-M,3,JOPLVSMRW5156-XXL,0,,0
JOPLJPR215-XXL,6,JOPLVSRW4147-7XL,24,JOPLVSRW5221-L,0,,0
JOPLJPR216-3XL,28,JOPLVSRW4147-8XL,5,JOPLJPR708-S,0,,0
JOPLJPR216-L,17,JOPLVSRW4005-4XL,2,JOPLJPR708-M,0,,0
JOPLJPR216-M,43,JOPLVSRW4088-M,1,JOPLVSRW5172-7XL,0,,0
JOPLJPR216-XL,50,JOPLVSRW4147-5XL,3,JOPLJPR718-S,0,,0
JOPLJPR216-XXL,31,JOPLVSMRW3988-5XL,1,JOPLVL212-L,0,,0
JOPLJPR21-M,2,JOPLVSMRW4250-XL,4,JOPLST201-XL,0,,0
JOPLJPR301-L,23,JOPLVSMRW3988-S,12,JOPLVSM4097,0,,0
JOPLJPR301-XL,9,JOPLJPR751-XXL,1,JOPLJPR518-XL,1,,0
JOPLJPR301-XS,19,JOPLJPR765-L,2,JOPLJPR43-3XL,0,,0
JOPLJPR301-XXL,18,JOPLJPR765-S,2,JOPLJPR89-5XL,0,,0
JOPLJPR302-L,4,JOPLJPR753-S,10,JOPLJPR69B-XXL,0,,0
JOPLJPR302-S,5,JOPLJPR778-S,1,JOPLVSM4147,1,,0
JOPLJPR302-XL,34,JOPLJPR765-XS,2,JOPLVSM5112,0,,0
JOPLJPR302-XS,15,JOPLJPR764-XXL,1,JOPLVSRW5210-10XL,0,,0
JOPLJPR302-XXL,24,JOPLJPR778-XL,14,JOPLMD147A,0,,0
JOPLJPR303-L,7,JOPLJPR765-M,1,JOPLVSMRW4284-M,0,,0
JOPLJPR303-M,5,JOPLJPR751-XS,2,JOPLVSRW5216-L,0,,0
JOPLJPR303-S,11,JOPLJPR753-XXL,1,JOPLVSRW5216-XXL,0,,0
JOPLJPR303-XL,1,JOPLJPR778-XS,1,JOPLVSRW5216-5XL,0,,0
JOPLJPR303-XS,33,JOPLJPR753-XS,3,JOPLVSRW5211-XL,0,,0
JOPLJPR303-XXL,5,JOPLJPR851-S,4,JOPLVSMRW5149-6XL,0,,0
JOPLJPR304-L,2,JOPLJPR851-M,3,JOPLVSRW5204-L,0,,0
JOPLJPR304-XS,20,JOPLJPR851-XXL,1,JOPLVSRW5218-L,0,,0
JOPLJPR305-XS,8,JOPLJPR851-3XL,5,JOPLVSRW5211-S,0,,0
JOPLJPR306-L,1,JOPLJPR755-XS,0,JOPLJPR706-S,0,,0
JOPLJPR306-S,5,JOPLJPR752-XL,1,JOPLVSRW1167-M,0,,0
JOPLJPR306-XL,2,JOPLJPR752-L,1,JOPLPDPRW1006-L,4,,0
JOPLJPR306-XS,19,JOPLJPR752-XXL,3,JOPLJPR868-L,0,,0
JOPLJPR307-L,29,JOPLJPR755-M,5,JOPLJPR762-L,0,,0
JOPLJPR307-M,12,JOPLVSRW4114-10XL,4,JOPLVSRW4093-S,0,,0
JOPLJPR307-S,46,JOPLLTRW2007-3XL,12,JOPLLTRW2013-S,0,,0
JOPLJPR307-XL,39,JOPLPDPRW1006-3XL,6,JOPLVSRW4082-XXL,0,,0
JOPLJPR307-XS,45,JOPLVSRW4286-XXL,4,JOPLVSRW5215-XL,0,,0
JOPLJPR307-XXL,70,JOPLVSRW4031-3XL,10,JOPLVSRW4114-3XL,2,,0
JOPLJPR308-S,1,JOPLLTRW2007-5XL,6,JOPLJPR711-XL,0,,0
JOPLJPR308-XL,3,JOPLLTRW2007-6XL,2,JOPLJPR706-XS,0,,0
JOPLJPR309-S,2,JOPLVSRW4002-3XL,3,JOPLST270-XL,0,,0
JOPLJPR311-L,2,JOPLLTRW2007-10XL,5,JOPLJPR734-S,0,,0
JOPLJPR311-M,2,JOPLJPR7004-L,1,JOPLVSRW5211-M,0,,0
JOPLJPR311-S,42,JOPLVSRW4031-9XL,1,JOPLJPR779-M,0,,0
JOPLJPR311-XS,69,JOPLJPR7006-S,1,JOPLVSMRW5149-XL,1,,0
JOPLJPR312-S,2,JOPLJPR4052-3XL,2,JOPLVSRW4114-S,0,,0
JOPLJPR312-XS,7,JOPLST242-3XL,1,JOPLVSRW4082-5XL,0,,0
JOPLJPR313-S,3,JOPLST242-5XL,6,JOPLVSRW4097-L,0,,0
JOPLJPR314-S,3,JOPLJPR7006-XL,2,JOPLJPR325-M,0,,0
JOPLJPR314-XS,2,JOPLJPR513-XXL,31,JOPLVL245-5XL,0,,0
JOPLJPR315-L,1,JOPLJPR513-XL,26,JOPLDI1033,0,,0
JOPLJPR315-M,7,JOPLJPR513-M,4,JOPLJPR44-6XL,0,,0
JOPLJPR315-S,3,JOPLJPR513-S,8,JOPLJPR68D-4XL,0,,0
JOPLJPR315-XL,5,JOPLJPR513-L,2,JOPLVL212-XXL,0,,0
JOPLJPR315-XS,14,JOPLVSRW1163-9XL,9,JOPLRP710-JOPLPDP1013,0,,0
JOPLJPR316-M,1,JOPLVSRW1163-8XL,2,JOPLVSRW4097-6XL,0,,0
JOPLJPR316-S,5,JOPLVSRW5171-9XL,4,JOPLVSRW5212-3XL,0,,0
JOPLJPR316-XS,1,JOPLJPR734-XL,1,JOPLLTRW2018-3XL,0,,0
JOPLJPR317-M,8,JOPLJPR7007-L,8,JOPLVSRW5216-6XL,0,,0
JOPLJPR317-S,15,JOPLJPR734-XXL,1,JOPLVSRW4097-3XL,0,,0
JOPLJPR317-XS,13,JOPLJPR4053-L,4,JOPLVSRW5212-6XL,0,,0
JOPLJPR318-L,11,JOPLJPR4053-XL,1,JOPLVSRW1167-7XL,0,,0
JOPLJPR318-M,11,JOPLVSRW1163-7XL,3,JOPLJPR68C-L,0,,0
JOPLJPR318-S,18,JOPLJPR7013-XXL,4,JOPLVSMRW4281-S,0,,0
JOPLJPR318-XL,8,JOPLJPR7007-S,1,JOPLVSRW4005-S,1,,0
JOPLJPR318-XS,18,JOPLJPR7013-L,2,JOPLVSRW5206-S,0,,0
JOPLJPR318-XXL,14,JOPLJPR4053-M,1,JOPLVL212-4XL,0,,0
JOPLJPR319-L,5,JOPLJPR144-S,1,JOPLJPR314-XL,0,,0
JOPLJPR319-XL,2,JOPLJPR864-M,1,JOPLJPR758-XXL,0,,0
JOPLJPR319-XS,12,JOPLJPR144-L,2,JOPLVSRW5220-6XL,0,,0
JOPLJPR319-XXL,9,JOPLJPR144-XXL,1,JOPLLTRW2016-5XL,0,,0
JOPLJPR320-L,8,JOPLVSRW4082-8XL,1,JOPLJPR44-L,1,,0
JOPLJPR320-M,6,JOPLVSRW5208-M,1,JOPLJPR69D-L,0,,0
JOPLJPR320-S,1,JOPLST271-XXL,6,JOPLST739-3XL,0,,0
JOPLJPR320-XL,14,JOPLST270-L,12,JOPLVSRW5213-3XL,0,,0
JOPLJPR320-XS,22,JOPLVSRW5208-S,1,JOPLVL214-4XL,0,,0
JOPLJPR320-XXL,9,JOPLVSRW5210-XXL,9,JOPLVSRW5204-M,0,,0
JOPLJPR321-L,1,JOPLST270-XL,5,JOPLVSRW5218-XL,0,,0
JOPLJPR321-S,3,JOPLVSRW5210-6XL,1,JOPLJPR68C-M,0,,0
JOPLJPR321-XS,5,JOPLVSRW5209-L,8,JOPLVSRW4005-M,0,,0
JOPLJPR322-L,3,JOPLVSRW5210-4XL,4,JOPLJPR69D-3XL,0,,0
JOPLJPR322-S,6,JOPLVSRW5210-XL,3,JOPLJPR68C-S,0,,0
JOPLJPR322-XL,6,JOPLST270-M,21,JOPLVSRW4288-7XL,1,,0
JOPLJPR322-XS,17,JOPLST271-S,8,JOPLJPR44-S,5,,0
JOPLJPR322-XXL,10,JOPLST270-XXL,3,JOPLVSMRW5149-5XL,3,,0
JOPLJPR323-M,3,JOPLJPR512-M,6,JOPLVSRW5211-XXL,0,,0
JOPLJPR323-XL,1,JOPLJPR512-S,1,JOPLVSRW5218-XXL,0,,0
JOPLJPR323-XS,3,JOPLJPR512-XXL,5,JOPLJPR89-L,0,,0
JOPLJPR323-XXL,5,JOPLJPR512-XL,1,JOPLVSRW4088-7XL,0,,0
