,,,,,,,,,,,,,,,,,,
,,Master SKU,Style ID / Parent SKU,Size,Category,Loc,ST CS,Wholesale Price,Catalog Name,Up Price,Uniware Stock,FBA,FBF,SJIT,Launch Date,Manual Close / New,Child Remark,Parent Remark
,,JOPLCS112-XS,JOPLCS112,XS,Cord Set,Jaipur,364,464,Jiana,580,19,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS112-XXL,JOPLCS112,XXL,Cord Set,Jaipur,364,464,Jiana,580,29,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLCS113-L,JOPLCS113,L,Cord Set,Jaipur,360,464,Jiana,580,35,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-M,JOPLCS113,M,Cord Set,Jaipur,360,464,Jiana,580,0,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-S,JOPLCS113,S,Cord Set,Jaipur,360,464,Jiana,580,44,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-XL,JOPLCS113,XL,Cord Set,Jaipur,360,464,Jiana,580,39,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-XS,JOPLCS113,XS,Cord Set,Jaipur,360,464,Jiana,580,37,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLCS113-XXL,JOPLCS113,XXL,Cord Set,Jaipur,360,464,Jiana,580,30,0,0,0,13-Jan-25,,Slow Moving,Slow Moving
,,JOPLDI1019,JOPLDI1019,Free,Dress Material,Surat,190,235,,294,3,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLDI1020,JOPLDI1020,Free,Dress Material,Surat,190,235,,294,4,2,1,0,28-Jul-23,,Platinum C,Platinum C
,,JOPLDI1021,JOPLDI1021,Free,Dress Material,Surat,190,224,,294,120,0,0,0,11-Apr-24,,Diamond C,Diamond C
,,JOPLDI1022,JOPLDI1022,Free,Dress Material,Surat,190,235,,294,56,0,0,0,11-Apr-24,,Platinum B,Platinum B
,,JOPLDI1024,JOPLDI1024,Free,Dress Material,Surat,190,235,,294,51,19,0,0,28-Jul-23,,Platinum A,Platinum A
,,JOPLDI1025,JOPLDI1025,Free,Dress Material,Surat,190,235,,294,40,1,0,0,28-Jul-23,,Platinum C,Platinum C
,,JOPLDI1026,JOPLDI1026,Free,Dress Material,Surat,190,235,,294,14,0,0,0,28-Jul-23,,Diamond A,Diamond A
,,JOPLDI1028,JOPLDI1028,Free,Dress Material,Surat,190,235,,294,11,0,1,0,11-Apr-24,,Platinum C,Platinum C
,,JOPLDI1032,JOPLDI1032,Free,Dress Material,Surat,190,235,,294,76,0,1,0,28-Jul-23,,Platinum B,Platinum B
,,JOPLDI1033,JOPLDI1033,Free,Dress Material,Surat,190,224,,294,16,0,0,0,11-Apr-24,,Platinum B,Platinum B
,,JOPLDI1038,JOPLDI1038,Free,Dress Material,Surat,190,224,,294,0,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLDI1040,JOPLDI1040,Free,Dress Material,Surat,190,224,,294,2,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLDI1042,JOPLDI1042,Free,Dress Material,Surat,190,224,,294,0,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLDI1045,JOPLDI1045,Free,Dress Material,Surat,190,224,,294,70,0,0,0,11-Apr-24,,Platinum B,Platinum B
,,JOPLDI1052,JOPLDI1052,Free,Dress Material,Surat,190,224,,294,0,0,6,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLDI1063,JOPLDI1063,Free,Dress Material,Surat,190,235,,294,1,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLDI1068,JOPLDI1068,Free,Dress Material,Surat,210,235,,294,0,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLDI1069,JOPLDI1069,Free,Dress Material,Surat,210,235,,294,0,0,0,0,########,,Slow Moving,Slow Moving
,,JOPLDI1072,JOPLDI1072,Free,Dress Material,Surat,210,235,,294,0,4,0,0,########,,Slow Moving,Slow Moving
,,JOPLJPR10-3XL,JOPLJPR10,3XL,Kurta-Jpr,Jaipur,262,329,,405,0,2,0,0,8-Jul-21,,Diamond C,Diamond B
,,JOPLJPR10-4XL,JOPLJPR10,4XL,Kurta-Jpr,Jaipur,262,329,,405,0,1,3,0,8-Jul-21,,Platinum A,Diamond B
,,JOPLJPR10-5XL,JOPLJPR10,5XL,Kurta-Jpr,Jaipur,262,354,,430,0,0,0,0,7-Sep-22,,Platinum B,Diamond B
,,JOPLJPR10-6XL,JOPLJPR10,6XL,Kurta-Jpr,Jaipur,262,354,,430,0,0,0,0,13-Jul-22,,Platinum C,Diamond B
,,JOPLJPR10-L,JOPLJPR10,L,Kurta-Jpr,Jaipur,262,304,,380,0,1,6,5,########,,Diamond A,Diamond B
,,JOPLJPR10-M,JOPLJPR10,M,Kurta-Jpr,Jaipur,262,304,,380,0,16,1,1,########,,Diamond A,Diamond B
,,JOPLJPR10-S,JOPLJPR10,S,Kurta-Jpr,Jaipur,262,304,,380,0,0,2,3,########,,Diamond A,Diamond B
,,JOPLJPR10-XL,JOPLJPR10,XL,Kurta-Jpr,Jaipur,262,304,,380,1,2,17,0,########,,Diamond A,Diamond B
,,JOPLJPR10-XXL,JOPLJPR10,XXL,Kurta-Jpr,Jaipur,262,304,,380,30,5,6,0,########,,Diamond A,Diamond B
,,JOPLJPR138-L,JOPLJPR138,L,"Dress 46""",Jaipur,285,356,,550,184,0,0,0,27-Jul-24,,Diamond C,Diamond C
,,JOPLJPR138-M,JOPLJPR138,M,"Dress 46""",Jaipur,285,356,,550,59,0,0,1,27-Jul-24,,Platinum A,Diamond C
,,JOPLJPR138-S,JOPLJPR138,S,"Dress 46""",Jaipur,285,356,,550,251,0,0,0,27-Jul-24,,Platinum C,Diamond C
,,JOPLJPR138-XL,JOPLJPR138,XL,"Dress 46""",Jaipur,285,356,,550,64,1,0,0,27-Jul-24,,Diamond C,Diamond C
,,JOPLJPR138-XXL,JOPLJPR138,XXL,"Dress 46""",Jaipur,285,356,,550,58,0,0,0,27-Jul-24,,Diamond B,Diamond C
,,JOPLJPR139-L,JOPLJPR139,L,"Dress 46""",Jaipur,287,356,,550,1,0,0,0,27-Jul-24,,Slow Moving,Slow Moving
,,JOPLJPR139-M,JOPLJPR139,M,"Dress 46""",Jaipur,287,356,,550,5,0,0,0,27-Jul-24,,Slow Moving,Slow Moving
,,JOPLJPR139-S,JOPLJPR139,S,"Dress 46""",Jaipur,287,356,,550,8,0,0,0,27-Jul-24,,Slow Moving,Slow Moving
,,JOPLJPR139-XL,JOPLJPR139,XL,"Dress 46""",Jaipur,287,356,,550,1,0,0,0,27-Jul-24,,Slow Moving,Slow Moving
,,JOPLJPR139-XXL,JOPLJPR139,XXL,"Dress 46""",Jaipur,287,356,,550,3,0,0,0,27-Jul-24,,Slow Moving,Slow Moving
,,JOPLJPR140-L,JOPLJPR140,L,"Dress 46""",Jaipur,315,394,,550,9,1,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLJPR140-M,JOPLJPR140,M,"Dress 46""",Jaipur,315,394,,550,0,0,0,0,11-Apr-24,,Platinum C,Slow Moving
,,JOPLJPR140-S,JOPLJPR140,S,"Dress 46""",Jaipur,315,394,,550,26,0,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLJPR140-XL,JOPLJPR140,XL,"Dress 46""",Jaipur,315,394,,550,10,1,0,0,11-Apr-24,,Slow Moving,Slow Moving
,,JOPLJPR140-XXL,JOPLJPR140,XXL,"Dress 46""",Jaipur,315,394,,550,6,0,0,0,11-Apr-24,,Platinum C,Slow Moving
,,JOPLJPR145A-L,JOPLJPR145A,L,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145A-M,JOPLJPR145A,M,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145A-S,JOPLJPR145A,S,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum B,Platinum C
,,JOPLJPR145A-XL,JOPLJPR145A,XL,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145A-XXL,JOPLJPR145A,XXL,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145B-L,JOPLJPR145B,L,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145B-M,JOPLJPR145B,M,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum B,Platinum C
,,JOPLJPR145B-S,JOPLJPR145B,S,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145B-XL,JOPLJPR145B,XL,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145B-XXL,JOPLJPR145B,XXL,Kurta-Jpr,Jaipur,278,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145C-L,JOPLJPR145C,L,Kurta-Jpr,Jaipur,289,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145C-M,JOPLJPR145C,M,Kurta-Jpr,Jaipur,289,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145C-S,JOPLJPR145C,S,Kurta-Jpr,Jaipur,289,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145C-XL,JOPLJPR145C,XL,Kurta-Jpr,Jaipur,289,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR145C-XXL,JOPLJPR145C,XXL,Kurta-Jpr,Jaipur,289,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR146A-L,JOPLJPR146A,L,Kurta-Jpr,Jaipur,275,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR146A-M,JOPLJPR146A,M,Kurta-Jpr,Jaipur,275,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR146A-S,JOPLJPR146A,S,Kurta-Jpr,Jaipur,275,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR146A-XL,JOPLJPR146A,XL,Kurta-Jpr,Jaipur,275,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR146A-XXL,JOPLJPR146A,XXL,Kurta-Jpr,Jaipur,275,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR146B-L,JOPLJPR146B,L,Kurta-Jpr,Jaipur,270,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Slow Moving
,,JOPLJPR146B-M,JOPLJPR146B,M,Kurta-Jpr,Jaipur,270,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR146B-S,JOPLJPR146B,S,Kurta-Jpr,Jaipur,270,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR146B-XL,JOPLJPR146B,XL,Kurta-Jpr,Jaipur,270,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR146B-XXL,JOPLJPR146B,XXL,Kurta-Jpr,Jaipur,270,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR147A-L,JOPLJPR147A,L,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR147A-M,JOPLJPR147A,M,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147A-S,JOPLJPR147A,S,Kurta-Jpr,Jaipur,298,373,,380,5,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147A-XL,JOPLJPR147A,XL,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147A-XXL,JOPLJPR147A,XXL,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR147B-L,JOPLJPR147B,L,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147B-M,JOPLJPR147B,M,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147B-S,JOPLJPR147B,S,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147B-XL,JOPLJPR147B,XL,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147B-XXL,JOPLJPR147B,XXL,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147C-L,JOPLJPR147C,L,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147C-M,JOPLJPR147C,M,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147C-S,JOPLJPR147C,S,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR147C-XL,JOPLJPR147C,XL,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR147C-XXL,JOPLJPR147C,XXL,Kurta-Jpr,Jaipur,298,373,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR148A-L,JOPLJPR148A,L,Kurta-Jpr,Jaipur,294,368,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148A-M,JOPLJPR148A,M,Kurta-Jpr,Jaipur,294,368,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148A-S,JOPLJPR148A,S,Kurta-Jpr,Jaipur,294,368,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148A-XL,JOPLJPR148A,XL,Kurta-Jpr,Jaipur,294,368,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148A-XXL,JOPLJPR148A,XXL,Kurta-Jpr,Jaipur,294,368,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148B-L,JOPLJPR148B,L,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148B-M,JOPLJPR148B,M,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148B-S,JOPLJPR148B,S,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Platinum C
,,JOPLJPR148B-XL,JOPLJPR148B,XL,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR148B-XXL,JOPLJPR148B,XXL,Kurta-Jpr,Jaipur,296,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Platinum C
,,JOPLJPR148C-L,JOPLJPR148C,L,Kurta-Jpr,Jaipur,292,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR148C-M,JOPLJPR148C,M,Kurta-Jpr,Jaipur,292,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Slow Moving
,,JOPLJPR148C-S,JOPLJPR148C,S,Kurta-Jpr,Jaipur,292,0,,380,1,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR148C-XL,JOPLJPR148C,XL,Kurta-Jpr,Jaipur,292,0,,380,1,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR148C-XXL,JOPLJPR148C,XXL,Kurta-Jpr,Jaipur,292,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR149-L,JOPLJPR149,L,Kurta-Jpr,Jaipur,276,0,,380,1,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR149-M,JOPLJPR149,M,Kurta-Jpr,Jaipur,276,0,,380,0,0,0,0,31-Jan-26,,Platinum C,Slow Moving
,,JOPLJPR149-S,JOPLJPR149,S,Kurta-Jpr,Jaipur,276,0,,380,3,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR149-XL,JOPLJPR149,XL,Kurta-Jpr,Jaipur,276,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR149-XXL,JOPLJPR149,XXL,Kurta-Jpr,Jaipur,276,0,,380,0,0,0,0,31-Jan-26,,Slow Moving,Slow Moving
,,JOPLJPR150A-L,JOPLJPR150A,L,Kurta-Jpr,Jaipur,285,,,380,0,0,0,0,########,,Platinum A,Platinum A
,,JOPLJPR150A-M,JOPLJPR150A,M,Kurta-Jpr,Jaipur,285,,,380,0,0,0,0,########,,Platinum B,Platinum A
,,JOPLJPR150A-S,JOPLJPR150A,S,Kurta-Jpr,Jaipur,285,,,380,13,0,0,0,########,,Platinum C,Platinum A
,,JOPLJPR150A-XL,JOPLJPR150A,XL,Kurta-Jpr,Jaipur,285,,,380,4,0,0,0,########,,Platinum A,Platinum A
,,JOPLJPR150A-XXL,JOPLJPR150A,XXL,Kurta-Jpr,Jaipur,285,,,380,0,0,0,0,########,,Diamond C,Platinum A
,,JOPLJPR150B-L,JOPLJPR150B,L,Kurta-Jpr,Jaipur,285,,,380,22,0,0,0,########,,Platinum B,Platinum C
,,JOPLJPR150B-M,JOPLJPR150B,M,Kurta-Jpr,Jaipur,285,,,380,5,0,0,0,########,,Platinum C,Platinum C
,,JOPLJPR150B-S,JOPLJPR150B,S,Kurta-Jpr,Jaipur,285,,,380,32,0,0,0,########,,New Listing,Platinum C
,,JOPLJPR150B-XL,JOPLJPR150B,XL,Kurta-Jpr,Jaipur,285,,,380,24,0,0,0,########,,Platinum B,Platinum C
,,JOPLJPR150B-XXL,JOPLJPR150B,XXL,Kurta-Jpr,Jaipur,285,,,380,18,0,0,0,########,,Platinum B,Platinum C
,,JOPLJPR150C-L,JOPLJPR150C,L,Kurta-Jpr,Jaipur,285,,,380,40,0,0,0,########,,Platinum B,Platinum C
,,JOPLJPR150C-M,JOPLJPR150C,M,Kurta-Jpr,Jaipur,285,,,380,32,0,0,0,########,,Platinum C,Platinum C
,,JOPLJPR150C-S,JOPLJPR150C,S,Kurta-Jpr,Jaipur,285,,,380,36,0,0,0,########,,New Listing,Platinum C
,,JOPLJPR150C-XL,JOPLJPR150C,XL,Kurta-Jpr,Jaipur,285,,,380,28,0,0,0,########,,Platinum B,Platinum C
,,JOPLJPR150C-XXL,JOPLJPR150C,XXL,Kurta-Jpr,Jaipur,285,,,380,8,0,0,0,########,,Platinum B,Platinum C
,,JOPLJPR151-L,JOPLJPR151,L,Kurta-Jpr,Jaipur,230,,,380,43,0,0,0,1-Apr-26,,New Listing,New Listing
,,JOPLJPR151-M,JOPLJPR151,M,Kurta-Jpr,Jaipur,230,,,380,26,0,0,0,1-Apr-26,,New Listing,New Listing
,,JOPLJPR151-S,JOPLJPR151,S,Kurta-Jpr,Jaipur,230,,,380,27,0,0,0,1-Apr-26,,New Listing,New Listing
,,JOPLJPR151-XL,JOPLJPR151,XL,Kurta-Jpr,Jaipur,230,,,380,35,0,0,0,1-Apr-26,,New Listing,New Listing
,,JOPLJPR151-XXL,JOPLJPR151,XXL,Kurta-Jpr,Jaipur,230,,,380,41,0,0,0,1-Apr-26,,New Listing,New Listing
,,JOPLJPR152A-L,JOPLJPR152A,L,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum A,Platinum B
,,JOPLJPR152A-M,JOPLJPR152A,M,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum B,Platinum B
,,JOPLJPR152A-S,JOPLJPR152A,S,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum C,Platinum B
,,JOPLJPR152A-XL,JOPLJPR152A,XL,Kurta-Jpr,Jaipur,281,,,380,7,0,0,0,########,,Platinum B,Platinum B
,,JOPLJPR152A-XXL,JOPLJPR152A,XXL,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum A,Platinum B
,,JOPLJPR152B-L,JOPLJPR152B,L,Kurta-Jpr,Jaipur,285,,,380,45,0,0,0,########,,New Listing,New Listing
,,JOPLJPR152B-M,JOPLJPR152B,M,Kurta-Jpr,Jaipur,285,,,380,21,0,0,0,########,,New Listing,New Listing
,,JOPLJPR152B-S,JOPLJPR152B,S,Kurta-Jpr,Jaipur,285,,,380,20,0,0,0,########,,New Listing,New Listing
,,JOPLJPR152B-XL,JOPLJPR152B,XL,Kurta-Jpr,Jaipur,285,,,380,48,0,0,0,########,,New Listing,New Listing
,,JOPLJPR152B-XXL,JOPLJPR152B,XXL,Kurta-Jpr,Jaipur,285,,,380,35,0,0,0,########,,New Listing,New Listing
,,JOPLJPR152C-L,JOPLJPR152C,L,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum C,Platinum C
,,JOPLJPR152C-M,JOPLJPR152C,M,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum C,Platinum C
,,JOPLJPR152C-S,JOPLJPR152C,S,Kurta-Jpr,Jaipur,281,,,380,18,0,0,0,########,,New Listing,Platinum C
,,JOPLJPR152C-XL,JOPLJPR152C,XL,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum B,Platinum C
,,JOPLJPR152C-XXL,JOPLJPR152C,XXL,Kurta-Jpr,Jaipur,281,,,380,0,0,0,0,########,,Platinum B,Platinum C
