Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLVL113A-S,JOPLVL113A,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLST06-4XL,JOPLST06,4XL,Kurta-St,Surat,Closed,Closed,Closed
JOPLST726-M,JOPLST726,M,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR7029-XL,JOPLJPR7029,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLST08-S,JOPLST08,S,Kurta-St,Surat,Closed,Closed,Closed
ROLY09A-S,ROLY09A,S,Western Top,Surat,Closed,Closed,Closed
JOPLJPR2005-L,JOPLJPR2005,L,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5210-7XL,JOPLVSRW5210,7XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLST215-XL,JOPLST215,XL,Skd-St,Surat,Closed,Closed,Closed
JOPLVSM5119,JOPLVSM5119,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR2020-XS,JOPLJPR2020,XS,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLST01-3XL,JOPLST01,3XL,Kurta-St,Surat,Closed,Closed,Closed
JOPLVSRW4133-4XL,JOPLVSRW4133,4XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR338-XS,JOPLJPR338,XS,"Dress 36""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVSMRW4267-3XL,JOPLVSMRW4267,3XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
VRY05-M,VRY05,M,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLVSRW5223-3XL,JOPLVSRW5223,3XL,Rw Salwar Suit,Surat,Platinum B,Platinum B,Live
MRAWAT18038,MRAWAT18038,Free,Wall Clocks,Surat,Closed,Closed,Closed
JOPLJPR2009-XL,JOPLJPR2009,XL,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5241-L,JOPLVSRW5241,L,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLVSRW5117-4XL,JOPLVSRW5117,4XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5226-L,JOPLVSRW5226,L,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLVSRW5205-L,JOPLVSRW5205,L,Rw Salwar Suit,Surat,Platinum C,Platinum C,Live
JOPLST250-XXL,JOPLST250,XXL,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR757-S,JOPLJPR757,S,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR719-M,JOPLJPR719,M,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLLTRW2025-4XL,JOPLLTRW2025,4XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5130-6XL,JOPLVSRW5130,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVL262-XL,JOPLVL262,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL307-M,JOPLVL307,M,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSM5128,JOPLVSM5128,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST202-XXL,JOPLST202,XXL,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR159D-XL,JOPLJPR159D,XL,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
ROLY09B-XS,ROLY09B,XS,Western Top,Surat,Closed,Closed,Closed
JOPLVL215-S,JOPLVL215,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR120-L,JOPLJPR120,L,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR303-S,JOPLJPR303,S,"Dress 36""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR4047-3XL,JOPLJPR4047,3XL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLST02-M,JOPLST02,M,Kurta-St,Surat,Closed,Closed,Closed
JOPLVL274-XL,JOPLVL274,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR732-XL,JOPLJPR732,XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR505-S,JOPLJPR505,S,Kurta With Pant,Jaipur,Closed,Closed,Closed
JOPLVSRW4278-L,JOPLVSRW4278,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR703-3XL,JOPLJPR703,3XL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVSRW5208-3XL,JOPLVSRW5208,3XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR848-L,JOPLJPR848,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW4093-XL,JOPLVSRW4093,XL,Rw Salwar Suit,Surat,Diamond B,Platinum A,Live
JOPLJPR143-S,JOPLJPR143,S,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLVL309-XL,JOPLVL309,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLPDPRW1006-6XL,JOPLPDPRW1006,6XL,Rw Salwar Suit,Surat,Diamond C,Platinum A,Live
JOPLVSRW4114-3XL,JOPLVSRW4114,3XL,Rw Salwar Suit,Surat,Diamond A,Diamond C,Live
JOPLJPR4001-XXL,JOPLJPR4001,XXL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5215-XL,JOPLVSRW5215,XL,Rw Salwar Suit,Surat,Platinum B,Platinum C,Live
JOPLJPR308-XXL,JOPLJPR308,XXL,"Dress 36""",Jaipur,Platinum B,Platinum B,Live
JOPLVL299B-XXL,JOPLVL299B,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR213-3XL,JOPLJPR213,3XL,"Maternity Gown  48""",Jaipur,Closed,Closed,Closed
JOPLPDPRW1006-XL,JOPLPDPRW1006,XL,Rw Salwar Suit,Surat,Diamond C,Platinum A,Live
JOPLVSRW4286-L,JOPLVSRW4286,L,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLST259-M,JOPLST259,M,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR833-S,JOPLJPR833,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
VRY07-L,VRY07,L,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLVSRW1091-5XL,JOPLVSRW1091,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR842-XL,JOPLJPR842,XL,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5219-XXL,JOPLVSRW5219,XXL,Rw Salwar Suit,Surat,Diamond C,Platinum B,Live
JOPLVSRW5122-10XL,JOPLVSRW5122,10XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR133-L,JOPLJPR133,L,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR212-XL,JOPLJPR212,XL,"Maternity Gown  48""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR5001-XXL,JOPLJPR5001,XXL,Crop Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLLTRW2018-XL,JOPLLTRW2018,XL,Rw Salwar Suit,Surat,Diamond B,Diamond C,Live
JOPLVL227-4XL,JOPLVL227,4XL,Skd-Jpr,Jaipur,Platinum C,Slow Moving,Live
JOPLMSFRTW1515-S,JOPLMSFRTW1515,S,Rtw,Surat,Closed,Closed,Closed
JOPLJPR163-M,JOPLJPR163,M,KURTA-JPR,Jaipur,New Listing,New Listing,Live
CS115WHITE0626-M,CS115WHITE0626,M,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLJPR345-XXL,JOPLJPR345,XXL,"Dress 46""",Jaipur,Platinum C,Slow Moving,Live
JOPLST262-XXL,JOPLST262,XXL,Skd-St,Surat,Closed,Closed,Closed
JOPLST722-XXL,JOPLST722,XXL,Tunics-St,Surat,Closed,Closed,Closed
JOPLST06-XL,JOPLST06,XL,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR4055-S,JOPLJPR4055,S,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL105-XXL,JOPLVL105,XXL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
