Master SKU,Style ID / Parent SKU,Size,Category,Loc,Child Remark,Parent Remark,Type
JOPLJPR509-M,JOPLJPR509,M,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLVSM4235,JOPLVSM4235,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR159E-S,JOPLJPR159E,S,Kurta-Jpr,Jaipur,New Listing,Platinum C,Live
JOPLVSRW4093-6XL,JOPLVSRW4093,6XL,Rw Salwar Suit,Surat,Platinum B,Platinum A,Live
JOPLVSRW1164-5XL,JOPLVSRW1164,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW1163-XXL,JOPLVSRW1163,XXL,Rw Salwar Suit,Surat,Platinum C,Slow Moving,Live
JOPLJPR767-XS,JOPLJPR767,XS,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR850-XXL,JOPLJPR850,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL102-L,JOPLVL102,L,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR773-L,JOPLJPR773,L,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSM4282,JOPLVSM4282,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR7002-L,JOPLJPR7002,L,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVL305-XL,JOPLVL305,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST15-XXL,JOPLST15,XXL,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR862-M,JOPLJPR862,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4023-M,JOPLJPR4023,M,Tunics-Jpr,Jaipur,Closed,Closed,Closed
VRY05-S,VRY05,S,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLST242-XXL,JOPLST242,XXL,Skd-St,Surat,Diamond C,Platinum A,Live
JOPLVL202-5XL,JOPLVL202,5XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL212-4XL,JOPLVL212,4XL,Skd-Jpr,Jaipur,Diamond C,Diamond C,Live
JOPLVSRW4114-8XL,JOPLVSRW4114,8XL,Rw Salwar Suit,Surat,Platinum B,Diamond C,Live
JOPLJPR4010-XXL,JOPLJPR4010,XXL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLVL241A-3XL,JOPLVL241A,3XL,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR102-XXL,JOPLJPR102,XXL,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR721-S,JOPLJPR721,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR724-XS,JOPLJPR724,XS,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR356-L,JOPLJPR356,L,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLJPR815-S,JOPLJPR815,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR513-S,JOPLJPR513,S,Kurta With Pant,Surat,Slow Moving,Platinum C,Live
JOPLJPR356-M,JOPLJPR356,M,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLJPR7033-M,JOPLJPR7033,M,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLST718-M,JOPLST718,M,Tunics-St,Surat,Closed,Closed,Closed
JOPLLTRW2023-M,JOPLLTRW2023,M,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLST214-M,JOPLST214,M,Skd-St,Surat,Closed,Closed,Closed
JOPLVSMRW5103-M,JOPLVSMRW5103,M,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW4147-XXL,JOPLVSRW4147,XXL,Rw Salwar Suit,Surat,Diamond A,Diamond A,Live
JOPLJPR836-S,JOPLJPR836,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLCS101-S,JOPLCS101,S,Cord Set,Jaipur,Closed,Closed,Closed
JOPLST285-L,JOPLST285,L,skd-st,Surat,New Listing,New Listing,Live
JOPLST11-XXL,JOPLST11,XXL,Kurta-St,Surat,Closed,Closed,Closed
JOPLJPR333-S,JOPLJPR333,S,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLVSRW5174-5XL,JOPLVSRW5174,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR795-XS,JOPLJPR795,XS,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVL273-XL,JOPLVL273,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5212-4XL,JOPLVSRW5212,4XL,Rw Salwar Suit,Surat,Platinum A,Platinum B,Live
JOPLJPR850-L,JOPLJPR850,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSM4202,JOPLVSM4202,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSMRW5164-5XL,JOPLVSMRW5164,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSM5130,JOPLVSM5130,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR4052-M,JOPLJPR4052,M,Tunics-Jpr,Jaipur,Platinum C,Platinum C,Live
JOPLST292-S,JOPLST292,S,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLVSRW5207-L,JOPLVSRW5207,L,Rw Salwar Suit,Surat,Platinum C,Platinum C,Live
JOPLJPR131-XL,JOPLJPR131,XL,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLST728-S,JOPLST728,S,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR796-XXL,JOPLJPR796,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVL270-L,JOPLVL270,L,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLST282-XL,JOPLST282,XL,SKD-ST,Surat,New Listing,New Listing,Live
JOPLJPR110-XXL,JOPLJPR110,XXL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR2012-XS,JOPLJPR2012,XS,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR801-5XL,JOPLJPR801,5XL,Skd-Jpr,Jaipur,Slow Moving,Platinum C,Live
JOPLVL243-6XL,JOPLVL243,6XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR166-L,JOPLJPR166,L,KURTA-JPR,Jaipur,New Listing,New Listing,Live
JOPLPDP1080,JOPLPDP1080,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW1013-7XL,JOPLVSRW1013,7XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR4018-M,JOPLJPR4018,M,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR2002-XL,JOPLJPR2002,XL,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLVSRW4229-L,JOPLVSMRW4229,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR4028-M,JOPLJPR4028,M,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSB1003,JOPLVSB1003,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLLTRW2015-10XL,JOPLLTRW2015,10XL,Rw Salwar Suit,Surat,Diamond B,Diamond A,Live
JOPLVSM4227,JOPLVSM4227,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSM4273,JOPLVSM4273,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR7009-XS,JOPLJPR7009,XS,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLVSRW5193-6XL,JOPLVSRW5193,6XL,Rw Salwar Suit,Surat,Platinum A,Diamond C,Live
JOPLST706-M,JOPLST706,M,Tunics-St,Surat,Closed,Closed,Closed
JOPLVL227-M,JOPLVL227,M,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR166-M,JOPLJPR166,M,KURTA-JPR,Jaipur,New Listing,New Listing,Live
JOPLVL288-4XL,JOPLVL288,4XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5171-10XL,JOPLVSRW5171,10XL,Rw Salwar Suit,Surat,Platinum C,Platinum A,Live
JOPLVL284A-XXL,JOPLVL284A,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5175-XXL,JOPLVSRW5175,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR344-XS,JOPLJPR344,XS,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLNB3086A,JOPLNB3086A,Free,Saree,Surat,Closed,Closed,Closed
JOPLJPR135-S,JOPLJPR135,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL224-S,JOPLVL224,S,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLST256-M,JOPLST256,M,Skd-St,Surat,Closed,Closed,Closed
JOPLST281-L,JOPLST281,L,SKD-ST,Surat,New Listing,New Listing,Live
JOPLKS9008,JOPLKS9008,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW4291-4XL,JOPLVSRW4291,4XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR511-S,JOPLJPR511,S,Kurta With Pant,Surat,Closed,Closed,Closed
JOPLJPR150C-S,JOPLJPR150C,S,Kurta-Jpr,Jaipur,New Listing,Platinum C,Live
JOPLJPR856-XXL,JOPLJPR856,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR703-S,JOPLJPR703,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR313-XXL,JOPLJPR313,XXL,"Dress 36""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW4031-M,JOPLVSRW4031,M,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
BL6213BROWN0426-XXL,BL6213BROWN0426,XXL,Blouse,Surat,Launch Phase,Launch Phase,Live
JOPLJPR206-XL,JOPLJPR206,XL,"Maternity Gown  48""",Jaipur,Slow Moving,Slow Moving,Live
JOPLST742-L,JOPLST742,L,Tunics-St,Surat,Closed,Closed,Closed
JOPLDI1070,JOPLDI1070,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR752-S,JOPLJPR752,S,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSRW5236-XXL,JOPLVSRW5236,XXL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLJPR304-S,JOPLJPR304,S,"Dress 36""",Jaipur,Closed,Closed,Closed
JOPLVSRW5210-S,JOPLVSRW5210,S,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR2015-S,JOPLJPR2015,S,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVL251-S,JOPLVL251,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL206-XXL,JOPLVL206,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR751-XS,JOPLJPR751,XS,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSM1164,JOPLVSM1164,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST746-S,JOPLST746,S,Tunics-St,Surat,Closed,Closed,Closed
JOPLVSRW5221-M,JOPLVSRW5221,M,Rw Salwar Suit,Surat,Platinum B,Diamond C,Live
JOPLVSRW5175-8XL,JOPLVSRW5175,8XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW4197-XXL,JOPLVSRW4197,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR4030-S,JOPLJPR4030,S,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLST719-XL,JOPLST719,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLRJN27-XL,SKU DELETED,XL,Sku Deleted,Surat,Closed,Closed,Closed
JOPLJPR741-XXL,JOPLJPR741,XXL,Cotton Top,Jaipur,Platinum C,Platinum C,Live
JOPLST03-4XL,JOPLST03,4XL,Kurta-St,Surat,Closed,Closed,Closed
JOPLVSM4254,JOPLVSM4254,Free,Dress Material,Surat,Closed,Closed,Closed
ROLY09B-L,ROLY09B,L,Western Top,Surat,Closed,Closed,Closed
JOPLJPR155B-M,JOPLJPR155B,M,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
JOPLJPR155A-L,JOPLJPR155A,L,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
JOPLST292-3XL,JOPLST292,3XL,SKD-ST,Surat,New Listing,New Listing,Live
JOPLVSRW5213-M,JOPLVSRW5213,M,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5239-XL,JOPLVSRW5239,XL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLLTRW2025-5XL,JOPLLTRW2025,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR154A-XXL,JOPLJPR154A,XXL,Kurta-Jpr,Jaipur,Platinum A,Platinum B,Live
JOPLVSRW5221-7XL,JOPLVSRW5221,7XL,Rw Salwar Suit,Surat,Platinum B,Diamond C,Live
JOPLDI1040,JOPLDI1040,Free,Dress Material,Surat,Slow Moving,Slow Moving,Live
JOPLRJN04-L,JOPLRJN04,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5122-3XL,JOPLVSRW5122,3XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLNB11006,JOPLNB11006,Free,Saree,Surat,Closed,Closed,Closed
JOPLJPR2014-M,JOPLJPR2014,M,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLVL208-XXL,JOPLVL208,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW4291-S,JOPLVSRW4291,S,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5118-5XL,JOPLVSRW5118,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR312-XL,JOPLJPR312,XL,"Dress 36""",Jaipur,Platinum C,Slow Moving,Live
JOPLJPR4014-M,JOPLJPR4014,M,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR7015-S,JOPLJPR7015,S,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR4021-S,JOPLJPR4021,S,Tunics-Jpr,Jaipur,Platinum B,Platinum B,Live
JOPLJPR58-3XL,JOPLJPR58,3XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSM4134,JOPLVSM4134,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVL313-M,JOPLVL313,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLCS111-M,JOPLCS111,M,Cord Set,Jaipur,Slow Moving,Slow Moving,Live
JOPLVL280-XXL,JOPLVL280,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR746-XS,JOPLJPR746,XS,Cotton Top,Jaipur,Slow Moving,Platinum C,Live
JOPLVSRW5227-5XL,JOPLVSRW5227,5XL,RW Salwar suit,Surat,New Listing,New Listing,Live
JOPLST291-M,JOPLST291,M,SKD-ST,Surat,New Listing,New Listing,Live
CS116WINE0626-M,CS116WINE0626,M,Pending,Pending,Launch Phase,Launch Phase,Live
JOPLJPR347-XS,JOPLJPR347,XS,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLRJN28-XL,SKU DELETED,XL,Sku Deleted,Surat,Closed,Closed,Closed
JOPLVSMRW4281-XXL,JOPLVSMRW4281,XXL,Rw Salwar Suit,Surat,Diamond A,Diamond C,Live
JOPLVSM5186,JOPLVSM5186,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW4292-9XL,JOPLVSRW4292,9XL,Rw Salwar Suit,Surat,Slow Moving,Platinum A,Live
JOPLMD145B,JOPLMD145B,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSM6103,JOPLVSM6103,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVSRW5173-6XL,JOPLVSRW5173,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR4013-XXL,JOPLJPR4013,XXL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR866-L,JOPLJPR866,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVL241-4XL,JOPLVL241,4XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLLTRW2023-S,JOPLLTRW2023,S,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLST737-XL,JOPLST737,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLVL109-M,JOPLVL109,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4013-S,JOPLJPR4013,S,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLNB108,JOPLNB108,Free,Saree,Surat,Closed,Closed,Closed
JOPLST705-L,JOPLST705,L,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR748-S,JOPLJPR748,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR153A-XXL,JOPLJPR153A,XXL,Kurta-Jpr,Jaipur,Platinum A,Platinum B,Live
JOPLST220-L,JOPLST220,L,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR7019-M,JOPLJPR7019,M,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLMF8003,JOPLMF8003,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR2009-XS,JOPLJPR2009,XS,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR146B-L,JOPLJPR146B,L,Kurta-Jpr,Jaipur,Platinum C,Slow Moving,Live
JOPLLTRW2023-L,JOPLLTRW2023,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5235-M,JOPLVSRW5235,M,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLST275-L,JOPLST275,L,Skd-St,Surat,Closed,Closed,Closed
JOPLVSRW5203-10XL,JOPLVSRW5203,10XL,Rw Salwar Suit,Surat,Platinum B,Diamond C,Live
JOPLJPR2010-M,JOPLJPR2010,M,"Dress 46""",Jaipur,Closed,Closed,Closed
JOPLJPR804A-XXL,JOPLJPR804A,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5219-10XL,JOPLVSRW5219,10XL,Rw Salwar Suit,Surat,Platinum B,Platinum B,Live
JOPLPDP1071,JOPLPDP1071,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR763-XL,JOPLJPR763,XL,Cotton Top,Jaipur,Diamond C,Diamond C,Live
JOPLJPR607-M,JOPLJPR607,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR325-S,JOPLJPR325,S,"Dress 36""",Jaipur,Platinum C,Platinum C,Live
JOPLAI1006B,JOPLAI1006B,Free,Saree,Surat,Closed,Closed,Closed
JOPLVSRW5190-S,JOPLVSRW5190,S,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLST747-XL,JOPLST747,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLVSRW5130-XXL,JOPLVSRW5130,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR862-XXL,JOPLJPR862,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSM4239,JOPLVSM4239,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR4029-3XL,JOPLJPR4029,3XL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR2019-XS,JOPLJPR2019,XS,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR835-XL,JOPLJPR835,XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSM4110,JOPLVSM4110,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLCS106-M,JOPLCS106,M,Cord Set,Jaipur,Closed,Closed,Closed
JOPLJPR326-M,JOPLJPR326,M,"Dress 42 """,Jaipur,Closed,Closed,Closed
JOPLVSMRW5159-9XL,JOPLVSMRW5159,9XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
ROLY07A-XS,ROLY07A,XS,Western Top,Surat,Closed,Closed,Closed
JOPLJPR831-S,JOPLJPR831,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR44-6XL,JOPLJPR44,6XL,Kurta-Jpr,Jaipur,Diamond C,Diamond B,Live
JOPLVSRW9001-M,JOPLVSRW9001,M,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVL107-S,JOPLVL107,S,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR4010-M,JOPLJPR4010,M,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR705-L,JOPLJPR705,L,Cotton Top,Jaipur,Platinum C,Slow Moving,Live
JOPLVSRW5209-6XL,JOPLVSRW5209,6XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLCS107-XS,JOPLCS107,XS,Cord Set,Jaipur,Slow Moving,Slow Moving,Live
JOPLVSM5107,JOPLVSM5107,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST712-XL,JOPLST712,XL,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR731-XXL,JOPLJPR731,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLPDPRW1058-9XL,JOPLPDPRW1058,9XL,Rw Salwar Suit,Surat,Platinum A,Diamond A,Live
JOPLVSRW5216-9XL,JOPLVSRW5216,9XL,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLST711-XXL,JOPLST711,XXL,Tunics-St,Surat,Closed,Closed,Closed
MRAWAT18053,MRAWAT18053,Free,Wall Clocks,Surat,Closed,Closed,Closed
JOPLST02-S,JOPLST02,S,Kurta-St,Surat,Closed,Closed,Closed
JOPLRJN09-XXL,JOPLRJN09,XXL,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLNB3068,JOPLNB3068,Free,Saree,Surat,Closed,Closed,Closed
JOPLJPR123-XL,JOPLJPR123,XL,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR818-5XL,JOPLJPR818,5XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5174-XXL,JOPLVSRW5174,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW4091-XXL,JOPLVSRW4091,XXL,Rw Salwar Suit,Surat,Closed,Closed,Closed
MRAWAT18023,MRAWAT18023,Free,Wall Clocks,Surat,Closed,Closed,Closed
JOPLJPR4045-S,JOPLJPR4045,S,Tunics-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR165-L,JOPLJPR165,L,KURTA-JPR,Jaipur,New Listing,New Listing,Live
JOPLKS8104-S,JOPLKS8104,S,Kurta-Jpr,Surat,Closed,Closed,Closed
JOPLJPR148B-XL,JOPLJPR148B,XL,Kurta-Jpr,Jaipur,Slow Moving,Platinum C,Live
JOPLJPR305-M,JOPLJPR305,M,"Dress 36""",Jaipur,Closed,Closed,Closed
JOPLJPR4043-XXL,JOPLJPR4043,XXL,Tunics-Jpr,Jaipur,Closed,Closed,Closed
MRAWAT18064,MRAWAT18064,Free,Wall Clocks,Surat,Closed,Closed,Closed
JOPLST274-XL,JOPLST274,XL,Skd-St,Surat,Closed,Closed,Closed
JOPLVSM5150,JOPLVSM5150,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLJPR7004-XS,JOPLJPR7004,XS,Cotton Top,Jaipur,Platinum C,Platinum C,Live
JOPLJPR155B-XXL,JOPLJPR155B,XXL,Kurta-Jpr,Jaipur,New Listing,New Listing,Live
JOPLKS205D,JOPLKS205D,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVL242-M,JOPLVL242,M,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR757-XL,JOPLJPR757,XL,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLVL279-L,JOPLVL279,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW1013-XL,JOPLVSRW1013,XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR89-6XL,JOPLJPR89,6XL,Kurta-Jpr,Jaipur,Platinum C,Platinum C,Live
JOPLDI1056,JOPLDI1056,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLVL277-S,JOPLVL277,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST12-S,JOPLST12,S,Kurta-St,Surat,Closed,Closed,Closed
JOPLVSRW5230-3XL,JOPLVSRW5230,3XL,RW Salwar suit,Surat,New Listing,New Listing,Live
JOPLRJN10-S,JOPLRJN10,S,Skd-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR853-S,JOPLJPR853,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR7004-S,JOPLJPR7004,S,Cotton Top,Jaipur,Platinum B,Platinum C,Live
JOPLVSRW5218-L,JOPLVSRW5218,L,Rw Salwar Suit,Surat,Platinum C,Platinum B,Live
JOPLVL310-6XL,JOPLVL310,6XL,Skd-Jpr,Jaipur,Slow Moving,Platinum C,Live
JOPLVL243-L,JOPLVL243,L,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR49-M,JOPLJPR49,M,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW5177-S,JOPLVSRW5177,S,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5237-6XL,JOPLVSRW5237,6XL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLVL239-S,JOPLVL239,S,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLST713-XXL,JOPLST713,XXL,Tunics-St,Surat,Closed,Closed,Closed
JOPLJPR346-M,JOPLJPR346,M,"Dress 46""",Jaipur,Platinum B,Platinum C,Live
JOPLJPR815-XXL,JOPLJPR815,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLVSRW4199-L,JOPLVSRW4199,L,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR4005-3XL,JOPLJPR4005,3XL,Tunics-Jpr,Jaipur,Slow Moving,Slow Moving,Live
JOPLLTRW2007-XL,JOPLLTRW2007,XL,Rw Salwar Suit,Surat,Diamond B,Diamond C,Live
JOPLVL299B-3XL,JOPLVL299B,3XL,Skd-Jpr,Jaipur,Closed,Closed,Closed
JOPLJPR147C-M,JOPLJPR147C,M,Kurta-Jpr,Jaipur,Platinum C,Platinum C,Live
JOPLVSM5163,JOPLVSM5163,Free,Dress Material,Surat,Closed,Closed,Closed
JOPLST270-M,JOPLST270,M,Skd-St,Surat,Closed,Closed,Closed
JOPLJPR122-L,JOPLJPR122,L,Kurta-Jpr,Jaipur,Closed,Closed,Closed
JOPLST04-L,JOPLST04,L,Kurta-St,Surat,Closed,Closed,Closed
JOPLST245-S,JOPLST245,S,Skd-St,Surat,Closed,Closed,Closed
JOPLVSRW5213-5XL,JOPLVSRW5213,5XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLJPR7018-XL,JOPLJPR7018,XL,Cotton Top,Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR736-XXL,JOPLJPR736,XXL,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLJPR348-M,JOPLJPR348,M,"Dress 46""",Jaipur,Slow Moving,Slow Moving,Live
JOPLJPR7034-S,JOPLJPR7034,S,Cotton Top,Jaipur,Closed,Closed,Closed
JOPLLTRW2013-8XL,JOPLLTRW2013,8XL,Rw Salwar Suit,Surat,Closed,Closed,Closed
JOPLVSRW5225-M,JOPLVSRW5225,M,Rw Salwar Suit,Surat,Platinum B,Platinum C,Live
JOPLST209-XL,JOPLST209,XL,Skd-St,Surat,Closed,Closed,Closed
JOPLVSRW5241-XL,JOPLVSRW5241,XL,RW Salwar suit,Surat,Launch Phase,Launch Phase,Live
JOPLVL292-XXL,JOPLVL292,XXL,Skd-Jpr,Jaipur,Closed,Closed,Closed
