Master SKU,Style ID / Parent SKU,Size,Category,Location,Cost,Wholesale Price,Catalog Name,Up Price,Uniware Stock,FBA,FBF,SJIT,Launch Date
JOPLAI1001D,JOPLAI1001D,Free,Saree,Surat,,,,,661,2,0,95,
JOPLCS107-L,JOPLCS107,L,Cord Set,Jaipur,,,,,24,1,1,34,
JOPLCS107-M,JOPLCS107,M,Cord Set,Jaipur,,,,,26,6,0,7,
JOPLCS107-S,JOPLCS107,S,Cord Set,Jaipur,,,,,11,0,7,3,
JOPLCS107-XL,JOPLCS107,XL,Cord Set,Jaipur,,,,,14,16,0,4,
JOPLCS107-XS,JOPLCS107,XS,Cord Set,Jaipur,,,,,22,1,21,1,
JOPLCS107-XXL,JOPLCS107,XXL,Cord Set,Jaipur,,,,,27,2,0,40,
JOPLCS108-L,JOPLCS108,L,Cord Set,Jaipur,,,,,38,1,7,36,
JOPLCS108-M,JOPLCS108,M,Cord Set,Jaipur,,,,,22,6,6,1,
JOPLCS108-S,JOPLCS108,S,Cord Set,Jaipur,,,,,27,5,4,1,
JOPLCS108-XL,JOPLCS108,XL,Cord Set,Jaipur,,,,,33,1,2,6,
JOPLCS108-XS,JOPLCS108,XS,Cord Set,Jaipur,,,,,36,1,0,19,
JOPLCS108-XXL,JOPLCS108,XXL,Cord Set,Jaipur,,,,,57,3,4,3,
JOPLCS109-L,JOPLCS109,L,Cord Set,Jaipur,,,,,25,8,4,1,
JOPLCS109-M,JOPLCS109,M,Cord Set,Jaipur,,,,,17,1,0,9,
JOPLCS109-S,JOPLCS109,S,Cord Set,Jaipur,,,,,26,2,1,2,
JOPLCS109-XL,JOPLCS109,XL,Cord Set,Jaipur,,,,,11,3,1,1,
JOPLCS109-XS,JOPLCS109,XS,Cord Set,Jaipur,,,,,21,3,0,48,
JOPLCS109-XXL,JOPLCS109,XXL,Cord Set,Jaipur,,,,,28,10,0,3,
JOPLCS110-L,JOPLCS110,L,Cord Set,Jaipur,,,,,11,1,1,2,
JOPLCS110-M,JOPLCS110,M,Cord Set,Jaipur,,,,,8,4,1,1,
JOPLCS110-S,JOPLCS110,S,Cord Set,Jaipur,,,,,23,1,13,38,
JOPLCS110-XL,JOPLCS110,XL,Cord Set,Jaipur,,,,,11,3,7,1,
JOPLCS110-XS,JOPLCS110,XS,Cord Set,Jaipur,,,,,18,5,17,5,
JOPLCS110-XXL,JOPLCS110,XXL,Cord Set,Jaipur,,,,,16,12,6,1,
JOPLCS111-L,JOPLCS111,L,Cord Set,Jaipur,,,,,27,2,11,67,
JOPLCS111-M,JOPLCS111,M,Cord Set,Jaipur,,,,,23,12,9,1,
JOPLCS111-S,JOPLCS111,S,Cord Set,Jaipur,,,,,44,3,1,15,
JOPLCS111-XL,JOPLCS111,XL,Cord Set,Jaipur,,,,,19,1,0,72,
JOPLCS111-XS,JOPLCS111,XS,Cord Set,Jaipur,,,,,41,3,0,1,
JOPLCS111-XXL,JOPLCS111,XXL,Cord Set,Jaipur,,,,,29,1,1,12,
JOPLCS112-L,JOPLCS112,L,Cord Set,Jaipur,,,,,24,1,4,1,
JOPLCS112-M,JOPLCS112,M,Cord Set,Jaipur,,,,,9,2,0,3,
JOPLCS112-S,JOPLCS112,S,Cord Set,Jaipur,,,,,,,,,
JOPLCS112-XL,JOPLCS112,XL,Cord Set,Jaipur,,,,,26,2,2,3,
JOPLCS112-XS,JOPLCS112,XS,Cord Set,Jaipur,,,,,19,2,2,1,
JOPLCS112-XXL,JOPLCS112,XXL,Cord Set,Jaipur,,,,,31,3,6,8,
JOPLCS113-L,JOPLCS113,L,Cord Set,Jaipur,,,,,36,3,3,2,
JOPLCS113-M,JOPLCS113,M,Cord Set,Jaipur,,,,,3,4,1,4,
JOPLCS113-S,JOPLCS113,S,Cord Set,Jaipur,,,,,42,2,4,14,
JOPLCS113-XL,JOPLCS113,XL,Cord Set,Jaipur,,,,,46,1,4,1,
JOPLCS113-XS,JOPLCS113,XS,Cord Set,Jaipur,,,,,37,7,0,1,
JOPLCS113-XXL,JOPLCS113,XXL,Cord Set,Jaipur,,,,,26,0,6,1,
JOPLDI1019,JOPLDI1019,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1020,JOPLDI1020,Free,Dress Material,Surat,,,,,9,1,0,4,
JOPLDI1021,JOPLDI1021,Free,Dress Material,Surat,,,,,114,9,0,1,
JOPLDI1022,JOPLDI1022,Free,Dress Material,Surat,,,,,57,1,4,2,
JOPLDI1024,JOPLDI1024,Free,Dress Material,Surat,,,,,53,4,0,48,
JOPLDI1025,JOPLDI1025,Free,Dress Material,Surat,,,,,41,2,1,13,
JOPLDI1026,JOPLDI1026,Free,Dress Material,Surat,,,,,15,3,0,31,
JOPLDI1028,JOPLDI1028,Free,Dress Material,Surat,,,,,14,4,4,9,
JOPLDI1032,JOPLDI1032,Free,Dress Material,Surat,,,,,73,2,0,1,
JOPLDI1033,JOPLDI1033,Free,Dress Material,Surat,,,,,26,8,0,52,
JOPLDI1038,JOPLDI1038,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1040,JOPLDI1040,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1042,JOPLDI1042,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1045,JOPLDI1045,Free,Dress Material,Surat,,,,,71,2,4,10,
JOPLDI1052,JOPLDI1052,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1063,JOPLDI1063,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1068,JOPLDI1068,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1069,JOPLDI1069,Free,Dress Material,Surat,,,,,,,,,
JOPLDI1072,JOPLDI1072,Free,Dress Material,Surat,,,,,,,,,
JOPLJPR10-3XL,JOPLJPR10,3XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-4XL,JOPLJPR10,4XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-5XL,JOPLJPR10,5XL,Kurta-Jpr,Jaipur,,,,,1,5,7,3,
JOPLJPR10-6XL,JOPLJPR10,6XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-L,JOPLJPR10,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-M,JOPLJPR10,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-S,JOPLJPR10,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-XL,JOPLJPR10,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR10-XXL,JOPLJPR10,XXL,Kurta-Jpr,Jaipur,,,,,30,1,1,43,
JOPLJPR138-L,JOPLJPR138,L,"Dress 46""",Jaipur,,,,,189,4,9,1,
JOPLJPR138-M,JOPLJPR138,M,"Dress 46""",Jaipur,,,,,59,1,2,16,
JOPLJPR138-S,JOPLJPR138,S,"Dress 46""",Jaipur,,,,,245,1,1,12,
JOPLJPR138-XL,JOPLJPR138,XL,"Dress 46""",Jaipur,,,,,63,5,2,20,
JOPLJPR138-XXL,JOPLJPR138,XXL,"Dress 46""",Jaipur,,,,,75,5,8,2,
JOPLJPR139-L,JOPLJPR139,L,"Dress 46""",Jaipur,,,,,1,50,6,8,
JOPLJPR139-M,JOPLJPR139,M,"Dress 46""",Jaipur,,,,,6,10,2,11,
JOPLJPR139-S,JOPLJPR139,S,"Dress 46""",Jaipur,,,,,6,35,2,3,
JOPLJPR139-XL,JOPLJPR139,XL,"Dress 46""",Jaipur,,,,,1,5,0,63,
JOPLJPR139-XXL,JOPLJPR139,XXL,"Dress 46""",Jaipur,,,,,4,1,5,1,
JOPLJPR140-L,JOPLJPR140,L,"Dress 46""",Jaipur,,,,,11,2,0,1,
JOPLJPR140-M,JOPLJPR140,M,"Dress 46""",Jaipur,,,,,2,1,0,3,
JOPLJPR140-S,JOPLJPR140,S,"Dress 46""",Jaipur,,,,,30,12,5,1,
JOPLJPR140-XL,JOPLJPR140,XL,"Dress 46""",Jaipur,,,,,14,1,8,11,
JOPLJPR140-XXL,JOPLJPR140,XXL,"Dress 46""",Jaipur,,,,,6,1,6,3,
JOPLJPR145A-L,JOPLJPR145A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145A-M,JOPLJPR145A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145A-S,JOPLJPR145A,S,Kurta-Jpr,Jaipur,,,,,0,2,3,7,
JOPLJPR145A-XL,JOPLJPR145A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145A-XXL,JOPLJPR145A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-L,JOPLJPR145B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-M,JOPLJPR145B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-S,JOPLJPR145B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-XL,JOPLJPR145B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145B-XXL,JOPLJPR145B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-L,JOPLJPR145C,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-M,JOPLJPR145C,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-S,JOPLJPR145C,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-XL,JOPLJPR145C,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR145C-XXL,JOPLJPR145C,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-L,JOPLJPR146A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-M,JOPLJPR146A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-S,JOPLJPR146A,S,Kurta-Jpr,Jaipur,,,,,4,1,7,1,
JOPLJPR146A-XL,JOPLJPR146A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146A-XXL,JOPLJPR146A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-L,JOPLJPR146B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-M,JOPLJPR146B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-S,JOPLJPR146B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-XL,JOPLJPR146B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR146B-XXL,JOPLJPR146B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147A-L,JOPLJPR147A,L,Kurta-Jpr,Jaipur,,,,,1,1,4,1,
JOPLJPR147A-M,JOPLJPR147A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147A-S,JOPLJPR147A,S,Kurta-Jpr,Jaipur,,,,,2,1,2,1,
JOPLJPR147A-XL,JOPLJPR147A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147A-XXL,JOPLJPR147A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-L,JOPLJPR147B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-M,JOPLJPR147B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-S,JOPLJPR147B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-XL,JOPLJPR147B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147B-XXL,JOPLJPR147B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-L,JOPLJPR147C,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-M,JOPLJPR147C,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-S,JOPLJPR147C,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-XL,JOPLJPR147C,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR147C-XXL,JOPLJPR147C,XXL,Kurta-Jpr,Jaipur,,,,,0,1,1,3,
JOPLJPR148A-L,JOPLJPR148A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148A-M,JOPLJPR148A,M,Kurta-Jpr,Jaipur,,,,,0,4,10,1,
JOPLJPR148A-S,JOPLJPR148A,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148A-XL,JOPLJPR148A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148A-XXL,JOPLJPR148A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148B-L,JOPLJPR148B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148B-M,JOPLJPR148B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148B-S,JOPLJPR148B,S,Kurta-Jpr,Jaipur,,,,,1,3,1,1,
JOPLJPR148B-XL,JOPLJPR148B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148B-XXL,JOPLJPR148B,XXL,Kurta-Jpr,Jaipur,,,,,0,43,6,2,
JOPLJPR148C-L,JOPLJPR148C,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148C-M,JOPLJPR148C,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148C-S,JOPLJPR148C,S,Kurta-Jpr,Jaipur,,,,,5,24,4,2,
JOPLJPR148C-XL,JOPLJPR148C,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR148C-XXL,JOPLJPR148C,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR149-L,JOPLJPR149,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR149-M,JOPLJPR149,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR149-S,JOPLJPR149,S,Kurta-Jpr,Jaipur,,,,,1,24,0,1,
JOPLJPR149-XL,JOPLJPR149,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR149-XXL,JOPLJPR149,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR150A-L,JOPLJPR150A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR150A-M,JOPLJPR150A,M,Kurta-Jpr,Jaipur,,,,,9,18,10,8,
JOPLJPR150A-S,JOPLJPR150A,S,Kurta-Jpr,Jaipur,,,,,18,16,7,2,
JOPLJPR150A-XL,JOPLJPR150A,XL,Kurta-Jpr,Jaipur,,,,,1,48,1,7,
JOPLJPR150A-XXL,JOPLJPR150A,XXL,Kurta-Jpr,Jaipur,,,,,0,16,1,2,
JOPLJPR150B-L,JOPLJPR150B,L,Kurta-Jpr,Jaipur,,,,,30,14,1,1,
JOPLJPR150B-M,JOPLJPR150B,M,Kurta-Jpr,Jaipur,,,,,12,10,1,3,
JOPLJPR150B-S,JOPLJPR150B,S,Kurta-Jpr,Jaipur,,,,,34,1,36,7,
JOPLJPR150B-XL,JOPLJPR150B,XL,Kurta-Jpr,Jaipur,,,,,28,3,2,2,
JOPLJPR150B-XXL,JOPLJPR150B,XXL,Kurta-Jpr,Jaipur,,,,,21,1,40,1,
JOPLJPR150C-L,JOPLJPR150C,L,Kurta-Jpr,Jaipur,,,,,44,2,0,11,
JOPLJPR150C-M,JOPLJPR150C,M,Kurta-Jpr,Jaipur,,,,,30,3,8,1,
JOPLJPR150C-S,JOPLJPR150C,S,Kurta-Jpr,Jaipur,,,,,43,1,2,3,
JOPLJPR150C-XL,JOPLJPR150C,XL,Kurta-Jpr,Jaipur,,,,,36,6,19,3,
JOPLJPR150C-XXL,JOPLJPR150C,XXL,Kurta-Jpr,Jaipur,,,,,21,2,1,1,
JOPLJPR151-L,JOPLJPR151,L,Kurta-Jpr,Jaipur,,,,,44,9,1,1,
JOPLJPR151-M,JOPLJPR151,M,Kurta-Jpr,Jaipur,,,,,27,13,8,47,
JOPLJPR151-S,JOPLJPR151,S,Kurta-Jpr,Jaipur,,,,,27,5,1,1,
JOPLJPR151-XL,JOPLJPR151,XL,Kurta-Jpr,Jaipur,,,,,39,3,1,5,
JOPLJPR151-XXL,JOPLJPR151,XXL,Kurta-Jpr,Jaipur,,,,,44,1,1,9,
JOPLJPR152A-L,JOPLJPR152A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR152A-M,JOPLJPR152A,M,Kurta-Jpr,Jaipur,,,,,1,2,1,20,
JOPLJPR152A-S,JOPLJPR152A,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR152A-XL,JOPLJPR152A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR152A-XXL,JOPLJPR152A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR152B-L,JOPLJPR152B,L,Kurta-Jpr,Jaipur,,,,,43,2,0,5,
JOPLJPR152B-M,JOPLJPR152B,M,Kurta-Jpr,Jaipur,,,,,23,5,3,4,
JOPLJPR152B-S,JOPLJPR152B,S,Kurta-Jpr,Jaipur,,,,,21,10,5,1,
JOPLJPR152B-XL,JOPLJPR152B,XL,Kurta-Jpr,Jaipur,,,,,47,1,0,1,
JOPLJPR152B-XXL,JOPLJPR152B,XXL,Kurta-Jpr,Jaipur,,,,,38,19,0,1,
JOPLJPR152C-L,JOPLJPR152C,L,Kurta-Jpr,Jaipur,,,,,8,1,11,1,
JOPLJPR152C-M,JOPLJPR152C,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR152C-S,JOPLJPR152C,S,Kurta-Jpr,Jaipur,,,,,20,6,5,2,
JOPLJPR152C-XL,JOPLJPR152C,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR152C-XXL,JOPLJPR152C,XXL,Kurta-Jpr,Jaipur,,,,,11,4,5,3,
JOPLJPR153A-L,JOPLJPR153A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153A-M,JOPLJPR153A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153A-S,JOPLJPR153A,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153A-XL,JOPLJPR153A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153A-XXL,JOPLJPR153A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153B-L,JOPLJPR153B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153B-M,JOPLJPR153B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153B-S,JOPLJPR153B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153B-XL,JOPLJPR153B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR153B-XXL,JOPLJPR153B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154A-L,JOPLJPR154A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154A-M,JOPLJPR154A,M,Kurta-Jpr,Jaipur,,,,,0,22,0,1,
JOPLJPR154A-S,JOPLJPR154A,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154A-XL,JOPLJPR154A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154A-XXL,JOPLJPR154A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154B-L,JOPLJPR154B,L,Kurta-Jpr,Jaipur,,,,,0,2,2,2,
JOPLJPR154B-M,JOPLJPR154B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154B-S,JOPLJPR154B,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154B-XL,JOPLJPR154B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR154B-XXL,JOPLJPR154B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR155A-L,JOPLJPR155A,L,Kurta-Jpr,Jaipur,,,,,35,4,1,1,
JOPLJPR155A-M,JOPLJPR155A,M,Kurta-Jpr,Jaipur,,,,,25,10,1,1,
JOPLJPR155A-S,JOPLJPR155A,S,Kurta-Jpr,Jaipur,,,,,31,3,9,24,
JOPLJPR155A-XL,JOPLJPR155A,XL,Kurta-Jpr,Jaipur,,,,,29,1,3,1,
JOPLJPR155A-XXL,JOPLJPR155A,XXL,Kurta-Jpr,Jaipur,,,,,13,11,2,1,
JOPLJPR155B-L,JOPLJPR155B,L,Kurta-Jpr,Jaipur,,,,,47,6,2,4,
JOPLJPR155B-M,JOPLJPR155B,M,Kurta-Jpr,Jaipur,,,,,30,2,3,13,
JOPLJPR155B-S,JOPLJPR155B,S,Kurta-Jpr,Jaipur,,,,,37,2,3,6,
JOPLJPR155B-XL,JOPLJPR155B,XL,Kurta-Jpr,Jaipur,,,,,44,4,1,1,
JOPLJPR155B-XXL,JOPLJPR155B,XXL,Kurta-Jpr,Jaipur,,,,,48,14,1,1,
JOPLJPR156A-L,JOPLJPR156A,L,Kurta-Jpr,Jaipur,,,,,12,2,2,1,
JOPLJPR156A-M,JOPLJPR156A,M,Kurta-Jpr,Jaipur,,,,,13,1,2,1,
JOPLJPR156A-S,JOPLJPR156A,S,Kurta-Jpr,Jaipur,,,,,19,13,1,5,
JOPLJPR156A-XL,JOPLJPR156A,XL,Kurta-Jpr,Jaipur,,,,,9,17,2,1,
JOPLJPR156A-XXL,JOPLJPR156A,XXL,Kurta-Jpr,Jaipur,,,,,13,27,4,1,
JOPLJPR156B-L,JOPLJPR156B,L,Kurta-Jpr,Jaipur,,,,,44,2,0,1,
JOPLJPR156B-M,JOPLJPR156B,M,Kurta-Jpr,Jaipur,,,,,33,7,1,1,
JOPLJPR156B-S,JOPLJPR156B,S,Kurta-Jpr,Jaipur,,,,,37,5,7,1,
JOPLJPR156B-XL,JOPLJPR156B,XL,Kurta-Jpr,Jaipur,,,,,41,10,12,1,
JOPLJPR156B-XXL,JOPLJPR156B,XXL,Kurta-Jpr,Jaipur,,,,,40,7,1,2,
JOPLJPR157A-L,JOPLJPR157A,L,Kurta-Jpr,Jaipur,,,,,47,13,1,1,
JOPLJPR157A-M,JOPLJPR157A,M,Kurta-Jpr,Jaipur,,,,,32,7,1,1,
JOPLJPR157A-S,JOPLJPR157A,S,Kurta-Jpr,Jaipur,,,,,32,3,0,2,
JOPLJPR157A-XL,JOPLJPR157A,XL,Kurta-Jpr,Jaipur,,,,,46,6,5,35,
JOPLJPR157A-XXL,JOPLJPR157A,XXL,Kurta-Jpr,Jaipur,,,,,45,2,3,1,
JOPLJPR157B-L,JOPLJPR157B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR157B-M,JOPLJPR157B,M,Kurta-Jpr,Jaipur,,,,,37,6,7,1,
JOPLJPR157B-S,JOPLJPR157B,S,Kurta-Jpr,Jaipur,,,,,37,3,38,1,
JOPLJPR157B-XL,JOPLJPR157B,XL,Kurta-Jpr,Jaipur,,,,,51,10,0,4,
JOPLJPR157B-XXL,JOPLJPR157B,XXL,Kurta-Jpr,Jaipur,,,,,45,33,5,5,
JOPLJPR158A-L,JOPLJPR158A,L,Kurta-Jpr,Jaipur,,,,,69,12,9,1,
JOPLJPR158A-M,JOPLJPR158A,M,Kurta-Jpr,Jaipur,,,,,22,8,4,12,
JOPLJPR158A-S,JOPLJPR158A,S,Kurta-Jpr,Jaipur,,,,,38,3,0,6,
JOPLJPR158A-XL,JOPLJPR158A,XL,Kurta-Jpr,Jaipur,,,,,59,1,1,2,
JOPLJPR158A-XXL,JOPLJPR158A,XXL,Kurta-Jpr,Jaipur,,,,,54,2,12,1,
JOPLJPR158B-L,JOPLJPR158B,L,Kurta-Jpr,Jaipur,,,,,30,18,2,1,
JOPLJPR158B-M,JOPLJPR158B,M,Kurta-Jpr,Jaipur,,,,,19,13,1,2,
JOPLJPR158B-S,JOPLJPR158B,S,Kurta-Jpr,Jaipur,,,,,33,7,0,1,
JOPLJPR158B-XL,JOPLJPR158B,XL,Kurta-Jpr,Jaipur,,,,,36,2,3,1,
JOPLJPR158B-XXL,JOPLJPR158B,XXL,Kurta-Jpr,Jaipur,,,,,42,12,1,1,
JOPLJPR158C-L,JOPLJPR158C,L,Kurta-Jpr,Jaipur,,,,,71,5,0,1,
JOPLJPR158C-M,JOPLJPR158C,M,Kurta-Jpr,Jaipur,,,,,60,2,0,3,
JOPLJPR158C-S,JOPLJPR158C,S,Kurta-Jpr,Jaipur,,,,,47,6,1,22,
JOPLJPR158C-XL,JOPLJPR158C,XL,Kurta-Jpr,Jaipur,,,,,76,1,7,4,
JOPLJPR158C-XXL,JOPLJPR158C,XXL,Kurta-Jpr,Jaipur,,,,,75,1,2,1,
JOPLJPR159A-L,JOPLJPR159A,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159A-M,JOPLJPR159A,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159A-S,JOPLJPR159A,S,Kurta-Jpr,Jaipur,,,,,0,2,0,3,
JOPLJPR159A-XL,JOPLJPR159A,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159A-XXL,JOPLJPR159A,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159B-L,JOPLJPR159B,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159B-M,JOPLJPR159B,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159B-S,JOPLJPR159B,S,Kurta-Jpr,Jaipur,,,,,0,2,0,5,
JOPLJPR159B-XL,JOPLJPR159B,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159B-XXL,JOPLJPR159B,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159C-L,JOPLJPR159C,L,Kurta-Jpr,Jaipur,,,,,6,1,1,1,
JOPLJPR159C-M,JOPLJPR159C,M,Kurta-Jpr,Jaipur,,,,,14,8,2,1,
JOPLJPR159C-S,JOPLJPR159C,S,Kurta-Jpr,Jaipur,,,,,15,1,1,1,
JOPLJPR159C-XL,JOPLJPR159C,XL,Kurta-Jpr,Jaipur,,,,,2,2,10,1,
JOPLJPR159C-XXL,JOPLJPR159C,XXL,Kurta-Jpr,Jaipur,,,,,9,1,0,1,
JOPLJPR159D-L,JOPLJPR159D,L,Kurta-Jpr,Jaipur,,,,,1,30,1,1,
JOPLJPR159D-M,JOPLJPR159D,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159D-S,JOPLJPR159D,S,Kurta-Jpr,Jaipur,,,,,12,4,2,1,
JOPLJPR159D-XL,JOPLJPR159D,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159D-XXL,JOPLJPR159D,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159E-L,JOPLJPR159E,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159E-M,JOPLJPR159E,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159E-S,JOPLJPR159E,S,Kurta-Jpr,Jaipur,,,,,6,1,5,3,
JOPLJPR159E-XL,JOPLJPR159E,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159E-XXL,JOPLJPR159E,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159F-L,JOPLJPR159F,L,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159F-M,JOPLJPR159F,M,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159F-S,JOPLJPR159F,S,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159F-XL,JOPLJPR159F,XL,Kurta-Jpr,Jaipur,,,,,,,,,
JOPLJPR159F-XXL,JOPLJPR159F,XXL,Kurta-Jpr,Jaipur,,,,,,,,,
